sample_id,image_path,question,ground_truths,prediction_claude_sonnet__claude_sonnet,inference_time_ms_claude_sonnet__claude_sonnet,extracted_text_claude_sonnet__claude_sonnet,error_claude_sonnet__claude_sonnet,prediction_gpt-5-mini__gpt-5-mini,inference_time_ms_gpt-5-mini__gpt-5-mini,extracted_text_gpt-5-mini__gpt-5-mini,error_gpt-5-mini__gpt-5-mini,prediction_gpt-5-nano__gpt-5-nano,inference_time_ms_gpt-5-nano__gpt-5-nano,extracted_text_gpt-5-nano__gpt-5-nano,error_gpt-5-nano__gpt-5-nano
chartqapro_mini_0010,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0010.png,['what was the ration of tests administered per 1 million people in ny to ca on day 20 since 100th case?'],"[""['3.75']""]",,3574.284076690674,,Error when retrieving token from sso: Token has expired and refresh failed,"Approximately 3.6 to 1. On day 20 NY ≈ 9,000 tests per million vs CA ≈ 2,500 tests per million (≈3.6× as many).",5607.415676116943,,,"Approximately 4.5 to 1. (NY had about 12k tests per 1M vs CA about 2.7k on day 20, giving a ratio of ~4.4–4.5.)",8277.387857437134,,
chartqapro_mini_0011,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0011.png,['what was the percentage change in nonproduction bonuses per hour from the lowest point in 2016 to the highest point in 2018?'],"[""['18.75%']""]",,3579.7410011291504,,Error when retrieving token from sso: Token has expired and refresh failed,About a 13% increase — nonproduction bonuses rose from roughly $0.87/hour at the 2016 low to about $0.98/hour at the 2018 high (≈(0.98−0.87)/0.87 ≈ 0.13).,5680.40919303894,,,"About 4.5% increase.  
Reason: lowest in 2016 ≈ $0.89/hour and highest in 2018 ≈ $0.93/hour; change ≈ (0.93−0.89)/0.89 ≈ 4.5%.",8789.311170578003,,
chartqapro_mini_0012,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0012.png,"[""what is the average of people who play's percentage, for the two generation that have the same percentage of people who view gaming?""]","[""['90.5%']""]",,3606.126070022583,,Error when retrieving token from sso: Token has expired and refresh failed,90.5%,8397.767782211304,,,"- Generations with the same % who view gaming: Gen Alpha and Gen Z (both 72% view).
- Their % who play: Gen Alpha = 93%, Gen Z = 88%.
- Average % who play = (93 + 88) / 2 = 90.5%.

So, the average is 90.5%.",13247.411966323853,,
chartqapro_mini_0013,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0013.png,"['approximately, how many times more land is used to produce a poultry burger compared to a lab-grown meat burger?']","[""['54']""]",,3584.233045578003,,Error when retrieving token from sso: Token has expired and refresh failed,About 50 times more — roughly 54 times as much land.,4955.9197425842285,,,About 54 times more land. (Poultry ~27% vs lab-grown ~0.5% land use → 27 / 0.5 ≈ 54),7220.768928527832,,
chartqapro_mini_0014,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0014.png,['what is the mean improvement across english and math for students in grade 7th from 2015 to 2016? round off to two decimal places.'],"[""['2.25']""]",,3580.474853515625,,Error when retrieving token from sso: Token has expired and refresh failed,The mean improvement is 2.25 percentage points.,3846.442937850952,,,"2.25 points

Calculation:
- English (7th): 58.5 − 56.2 = 2.3
- Math (7th): 49.8 − 47.6 = 2.2
- Mean = (2.3 + 2.2) / 2 = 2.25",10131.9899559021,,
chartqapro_mini_0015,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0015.png,['what is the combined percentage of cancer deaths attributed to pancreas cancer for both females and males?'],"[""['12']""]",,3567.6281452178955,,Error when retrieving token from sso: Token has expired and refresh failed,12%,4666.487216949463,,,12% (Pancreas accounts for 5% of female cancer deaths and 7% of male cancer deaths; 5% + 7% = 12%).,4785.7489585876465,,
chartqapro_mini_0016,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0016.png,"['on how many instances was the growth of myers and david jones aligned, i.e., both were either positive or negative?']","[""['24']""]",,3593.5330390930176,,Error when retrieving token from sso: Token has expired and refresh failed,"By visually counting the quarters where the blue (Myer) and red (David Jones) bars are on the same side of the zero line, they were aligned in 26 instances (about three-quarters of the periods shown).",10550.81582069397,,,"I can’t tell the exact count from the image alone. You’d need the quarterly growth values for Myer and David Jones (one value per quarter) to count how many quarters had the same sign.

How to compute (once you have the data):
- For each quarter, check the sign of Myers and DJones.
- Count a quarter if both are positive or both are negative (i.e., their signs are equal and nonzero).

If you paste the two series (same length, one value per quarter), I’ll compute the exact number for you. Or you can do it yourself with code or a spreadsheet:

- Python (NumPy):
  aligned = np.sum(np.sign(myer) == np.sign(djones))
- Excel:
  Assuming growths are in A2:A100 and B2:B100:
  =SUMPRODUCT(--(SIGN(A2:A100)=SIGN(B2:B100)))
  (adjust ranges as needed)

If you can share the data or a higher-resolution image, I’ll give you the exact count.",13415.664911270142,,
chartqapro_mini_0017,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0017.png,['what is the difference between the 1-year and 3-year probabilities of continuing use for a 15-day supply of the first opioid prescription?'],"[""['0.1']""]",,3567.0108795166016,,Error when retrieving token from sso: Token has expired and refresh failed,About 15 percentage points — roughly 30–32% at 1 year versus about 15–17% at 3 years (≈15% difference).,4914.710998535156,,,"About 15 percentage points. From the graph, for a 15-day initial prescription, the 1-year probability is roughly 28–30% while the 3-year probability is about 14–15%, a difference of ~15 points.",7437.618017196655,,
chartqapro_mini_0018,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0018.png,['how much discount can a buyer expect on average for bying an f-150 at any of the counties where the price is below the state average?'],"[""['663']""]",,3577.839136123657,,Error when retrieving token from sso: Token has expired and refresh failed,"About $663 on average — computed from the 11 counties shown with discounts (total $7,293 ÷ 11 = $663).",5280.423164367676,,,"About $663.  
This is the average discount across the 11 counties listed (ranging from $15 up to $1,950).",8967.74697303772,,
chartqapro_mini_0019,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0019.png,"['based on the observations in this chart, what is the average unresonable wait time for nova scotians?']","[""['4.55']""]",,3912.2798442840576,,Error when retrieving token from sso: Token has expired and refresh failed,"About 6 weeks (roughly 6–7 weeks). 

Explanation: the orange (actual) line sits about 6–7 weeks above the grey (reasonable) line on average across 1994–2016, so Nova Scotians waited about six weeks longer than a ""reasonable"" wait.",7638.054847717285,,,About 6 weeks. The chart shows actual waits being roughly 5–7 weeks longer than the reasonable waits on average for Nova Scotians.,13364.927053451538,,
chartqapro_mini_0020,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0020.png,"['what is the average case count of ""black death"" in the countries that have the third biggest circle size?']","[""['203']""]",,3570.9948539733887,,Error when retrieving token from sso: Token has expired and refresh failed,"1,309 cases.",7300.690174102783,,,"1,309 cases.

Reason: The third largest circle corresponds to Zambia, which shows 1,309 black death cases.",6617.118120193481,,
chartqapro_mini_0021,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0021.png,['what is double the difference between the number of stockpiled warheads in russia and the number of deployed warheads in the us as of 2018?'],"[""['5200']""]",,3577.6989459991455,,Error when retrieving token from sso: Token has expired and refresh failed,"Russia stockpiled (2018): 4,350  
US deployed (2018): 1,750  
Difference = 4,350 − 1,750 = 2,600  
Double the difference = 2 × 2,600 = 5,200

Answer: 5,200 warheads.",4862.925052642822,,,"5,200 warheads.

Reason: Russia’s stockpiled = 4,350; US deployed = 1,750; difference = 2,600; doubled = 5,200.",10707.097053527832,,
chartqapro_mini_0022,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0022.png,"['in 2019, how much more is a future college student likely to be vaping compared to a non college student?']","[""['0.04']""]",,3569.6656703948975,,Error when retrieving token from sso: Token has expired and refresh failed,About 4 percentage points more — 22% for future college students vs 18% for non‑college in 2019.,4100.419998168945,,,"4 percentage points. In 2019, 22% of future college students vaped vs 18% of non-college students (difference = 4 percentage points).",4947.670936584473,,
chartqapro_mini_0023,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0023.png,['in how many locations is the percentage of males refusing to have a bowel movement lower than females?'],"[""['2']""]",,3596.982955932617,,Error when retrieving token from sso: Token has expired and refresh failed,2,5026.046991348267,,,Two locations.,6612.8199100494385,,
chartqapro_mini_0024,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0024.png,['how many times greater is the difference between the snowpack levels in 2005 and 2011 compared to the snowpack level in 2015?'],"[""['6.8']""]",,3615.655899047851,,Error when retrieving token from sso: Token has expired and refresh failed,"The difference is 171% − 137% = 34%. Compared to 2015's 5%, that's 34 ÷ 5 = 6.8, so about 6.8 times (≈7 times) greater.",5648.607969284058,,,Approximately 6.8 times greater (34 percentage points difference between 2005 and 2011 divided by the 2015 level of 5%). So about 7 times greater.,6823.007106781006,,
chartqapro_mini_0025,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0025.png,"[""what is the average percentage of the four categories appeared in the same square as person's personality test result?""]","[""['4.125%']""]",,3588.175058364868,,Error when retrieving token from sso: Token has expired and refresh failed,"About 48%. (Average of I 51%, N 27%, F 60%, J 54% → (51+27+60+54)/4 = 48%)",8551.778793334961,,,"48%

Reason: For the INFJ type, use I (51%), N (27%), F (60%), J (54%). Average = (51 + 27 + 60 + 54) / 4 = 192 / 4 = 48%.",9779.250860214232,,
chartqapro_mini_0026,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0026.png,"['if 100 smb sales teams were surveyed, how many of them reported adopting social media management?']","[""['40']""]",,3624.000787734986,,Error when retrieving token from sso: Token has expired and refresh failed,40 teams. (Social media management was adopted by 40% of SMB sales teams.),3091.557025909424,,,40 teams (40% of 100).,4752.849340438843,,
chartqapro_mini_0027,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0027.png,['how many films in this list have a wide opening weekend gross exceeding $200 million?'],"[""['3']""]",,3573.0109214782715,,Error when retrieving token from sso: Token has expired and refresh failed,"3 — Star Wars: The Force Awakens, Jurassic World, and The Avengers.",5000.052928924561,,,"Three films. They are Star Wars: The Force Awakens, Jurassic World, and The Avengers.",7208.033084869385,,
chartqapro_mini_0028,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0028.png,['what is the difference between the interbank rate and the open market rate on friday?'],"[""['4.5']""]",,3600.0101566314697,,Error when retrieving token from sso: Token has expired and refresh failed,"The open market rate was 223.00 and the interbank rate 218.50 on Friday, so the difference was 4.50.",3866.198062896729,,,"4.50 units. On Friday the interbank rate was 218.50 and the open market rate was 223.00, so the open market rate is higher by 4.50.",10208.694696426392,,
chartqapro_mini_0029,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0029.png,['what is the weighted national support for the tax with national support of 43?'],"[""['41']""]",,3564.6419525146484,,Error when retrieving token from sso: Token has expired and refresh failed,The weighted national support for the tax with national support of 43 (Flat Income Tax) is 41.,4856.380224227905,,,41,6050.846815109253,,
chartqapro_mini_0030,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0030.png,['in which week the pcr positivity became lower than the lfd tests for the first time?'],"[""['8']""]",,3582.6900005340576,,Error when retrieving token from sso: Token has expired and refresh failed,Around week 16 — that's when the solid PCR positivity line first drops below the dashed LFD positivity line.,8011.508941650391,,,Week 34.,9598.723888397217,,
chartqapro_mini_0031,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0031.png,['what is the average of the numbers appeared from the years 2011 to 2014 for all three groups?'],"[""['33']""]",,3574.381113052368,,Error when retrieving token from sso: Token has expired and refresh failed,"I can compute that, but I can’t reliably read all the tiny year-by-year numbers from this small image. Could you either
- upload a clearer/cropped image showing the 2011–2014 points, or
- tell me the four values for each group (the three group values for 2011, 2012, 2013 and 2014)?

If you want to do it yourself, here’s how:
- For each group, add the values for 2011, 2012, 2013 and 2014 and divide by 4 to get that group’s average.
- If you want one overall average across all three groups and all four years, add all 12 numbers and divide by 12.

Tell me which you prefer or send a clearer crop and I’ll calculate the averages.",15399.579763412476,,,"Approximately 31.6%.

How:
- Red (2011–2014): 18, 16, 15, 12 → sum = 61
- Light blue (2011–2014): 36, 39, 38, 38 → sum = 151
- Dark blue (2011–2014): 39, 40, 38, 50 → sum = 167
- Total sum = 61 + 151 + 167 = 379
- Average = 379 / (4 years × 3 groups) = 379 / 12 ≈ 31.6%",28055.664777755737,,
chartqapro_mini_0032,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0032.png,['what is the sum of the month-wise covid-19 infections in tn in july and march?'],"[""['115032']""]",,3591.977119445801,,Error when retrieving token from sso: Token has expired and refresh failed,"The sum is 929,760 (July) + 35,131 (March) = 964,891.",15787.409782409668,,,"The sum is 13,12,940.

Explanation: From the chart for Tamil Nadu (TN), March = 9,29,760 and July = 3,83,180. Adding them: 9,29,760 + 3,83,180 = 13,12,940.",22884.821891784668,,
chartqapro_mini_0033,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0033.png,['what is the ratio of fire alerts outside concessions to those within concessions?'],"[""['1.5']""]",,3974.706888198853,,Error when retrieving token from sso: Token has expired and refresh failed,3:2 (60% outside vs 40% within),4217.597961425781,,,3:2 — 60% of fire alerts outside concessions vs 40% within concessions (60:40 simplifies to 3:2).,7412.155866622925,,
chartqapro_mini_0034,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0034.png,['What is the difference between the sum of the blue bars and the sum of the yellow bars? '],"[""['0']""]",,3632.654190063477,,Error when retrieving token from sso: Token has expired and refresh failed,0 — both sums are 100 (Blue: 32+38+30 = 100; Yellow: 55+27+18 = 100).,3593.5659408569336,,,0. The sum of the blue bars equals the sum of the yellow bars (both total 100).,6453.7389278411865,,
chartqapro_mini_0035,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0035.png,"['what is the average number of people affected by drought in brazil, peru, and colombia in 2017?']","[""['680000']""]",,3588.006019592285,,Error when retrieving token from sso: Token has expired and refresh failed,"The average is 680,000 people.
Calculation: (1,100,000 + 610,000 + 330,000) / 3 = 680,000 (people, in 2017).",4962.418794631958,,,"About 680,000 people.

Calculation: (1,100,000 + 610,000 + 330,000) / 3 = 2,040,000 / 3 ≈ 680,000.",7932.400226593018,,
chartqapro_mini_0036,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0036.png,"[""what percentage of countries in south asia fall under the 'high' category for gender inequality?""]","[""['22%']""]",,3607.120990753174,,Error when retrieving token from sso: Token has expired and refresh failed,22%,7636.827230453491,,,22%,16224.332094192505,,
chartqapro_mini_0037,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0037.png,['what is the percentage of household waste sent for composting in the usa?'],"[""['60%']""]",,3573.122978210449,,Error when retrieving token from sso: Token has expired and refresh failed,About 60% (approximately) — the USA bar on the chart shows roughly 60% of household waste sent for composting.,4719.565629959106,,,About 60%.,7835.555791854858,,
chartqapro_mini_0038,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0038.png,['what is the difference between the fiscal support announce since december 2020 by us vs euro area?'],"[""['7']""]",,3576.428174972534,,Error when retrieving token from sso: Token has expired and refresh failed,"The US has announced much more: about 7 percentage points of GDP in fiscal support since Dec 2020 versus roughly 2 percentage points in the euro area — so the US is about 5 percentage points of GDP higher. (Both had roughly similar cumulative support as of Dec 2020, around 6 p.p. of GDP.)",5840.0468826293945,,,"About 4 percentage points of GDP.  
- US: roughly 6% of GDP in new fiscal support since Dec 2020  
- Euro area: roughly 2% of GDP in new fiscal support since Dec 2020

So the US is higher by ~4 percentage points.",10428.014755249023,,
chartqapro_mini_0039,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0039.png,['what is the average percentage of the population below $1 a day in nigeria across both periods?'],"[""['65%']""]",,3574.8989582061768,,Error when retrieving token from sso: Token has expired and refresh failed,"From the chart Nigeria is about 65% (1990–99) and about 78% (2000–05). Averaging those: (65 + 78) / 2 ≈ 71.5%, so roughly 72% on average.",6132.138013839722,,,"About 71%.

Reason: From the chart, Nigeria is roughly 75% in 1990–1999 and about 67% in 2000–2005. The average ≈ (75 + 67) / 2 ≈ 71%. (Values are approximate from the chart.)",9714.776039123535,,
chartqapro_mini_0040,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0040.png,['What is the difference between the longest blue bar and the longest orange bar?'],"[""['7']""]",,3585.662841796875,,Error when retrieving token from sso: Token has expired and refresh failed,7 percentage points.,4546.02313041687,,,"7 percentage points (blue longest = 56%, orange longest = 49%).",10167.711019515991,,
chartqapro_mini_0041,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0041.png,"['what is the combined percentage of victims who are black, white hispanic, and white?']","[""['85.76%']""]",,3568.634271621704,,Error when retrieving token from sso: Token has expired and refresh failed,"Add the three percentages: 35.79% (Black) + 24.05% (White Hispanic) + 25.92% (White) = 85.76% (about 85.8%, ~86%).",5262.956142425537,,,85.76% (Black 35.79% + White Hispanic 24.05% + White 25.92%).,7072.627782821655,,
chartqapro_mini_0042,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0042.png,"['what is the average percentage of ""up"" results across all reporting seasons shown?']","[""['61.7']""]",,3599.8079776763916,,Error when retrieving token from sso: Token has expired and refresh failed,"The average ""up"" percentage across all reporting seasons shown is 61%.",6666.468143463135,,,"About 61%.

(Calculated by averaging the ""up"" percentages across all 13 reporting seasons shown: 57, 63, 53, 60, 64, 65, 61, 57, 62, 63, 58, 64, 66 → total 793 / 13 = 61.)",11070.698261260986,,
chartqapro_mini_0043,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0043.png,['what is the frt value of the chart that the lines have the least intersections?'],"[""['3.19']""]",,3589.404344558716,,Error when retrieving token from sso: Token has expired and refresh failed,2.59,11979.134798049929,,,3.19 FRT,14480.062007904053,,
chartqapro_mini_0044,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0044.png,['how many more students were enrolled in fall 2015 compared to fall 2017?'],"[""['1406']""]",,3588.941812515259,,Error when retrieving token from sso: Token has expired and refresh failed,"There were 1,406 more students in Fall 2015 (2,838) than in Fall 2017 (1,432).",6601.133823394775,,,"1,406 more students.

Reason: Fall 2015 enrollment = 2,838; Fall 2017 enrollment = 1,432; 2,838 − 1,432 = 1,406.",7482.753992080688,,
chartqapro_mini_0045,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/chartqapro_mini/images/chartqapro_0045.png,[' in how many years did the actual mps killed rate exceed its 5-period moving average?'],"[""['14']""]",,3699.273824691773,,Error when retrieving token from sso: Token has expired and refresh failed,14 years.,19202.88634300232,,,About 16 years. (There are roughly half of the years from 1984 to 2016 where the blue bar exceeds the black 5‑year moving average line.),14777.97818183899,,
