sample_id,image_path,ground_truth,language,dataset,prediction_azure_intelligence,inference_time_ms_azure_intelligence,tokens_used_azure_intelligence,error_azure_intelligence,prediction_mistral_document_ai,inference_time_ms_mistral_document_ai,tokens_used_mistral_document_ai,error_mistral_document_ai
icdar_tr_img_00101,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00101.jpg,# Rué du Liban,"Latin, Arabic",ICDAR_mini,"Liban
Rue
du",2468.7533378601074,,,"Liban
Rue
du",813.3988380432129,,
icdar_tr_img_00104,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00104.jpg,"![img-0.jpeg](img-0.jpeg)

# 2021

## 1500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","Symbols, Arabic",ICDAR_mini,"أحلى
التسالي
بطاطس
حلزوني
فشار
كرسبي
ذرة-
أحلى
ذرة
كرسبي
-",2642.728090286255,,,"أحلى
التسالي
بطاطس
حلزوني
فشار
كرسبي
ذرة-
أحلى
ذرة
كرسبي
-",2827.552080154419,,
icdar_tr_img_00138,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00138.jpg,"^{}[] HAMIL AL-MUSK

# Helmah al-Musk
## HAMIL AL MUSK
### OUD &amp; PERFUMES

^{}[] Helmah al-Musk
^{}[] 30 April 2014","Symbols, Arabic, Latin",ICDAR_mini,"AL-MUSK
HAMIL
المسك
حامل
HAMIL
AL
MUSK
OUD
&
PERFUMES
يات
تبارك
الله",2547.250986099243,,,"AL-MUSK
HAMIL
المسك
حامل
HAMIL
AL
MUSK
OUD
&
PERFUMES
يات
تبارك
الله",1572.8211402893066,,
icdar_tr_img_00144,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00144.jpg,"![img-0.jpeg](img-0.jpeg)

**Paseo de la Residencia**

**18**

**Paseo de la Inscripción**

**19**

**Paseo de la Inscripción**

**20**

**Paseo de la Inscripción**

**21**

**Paseo de la Inscripción**

**22**

**Paseo de la Inscripción**

**23**

**Paseo de la Inscripción**

**24**

**Paseo de la Inscripción**

**25**

**Paseo de la Inscripción**

**26**

**Paseo de la Inscripción**

**27**

**Paseo de la Inscripción**

**28**

**Paseo de la Inscripción**

**29**

**Paseo de la Inscripción**

**30**

**Paseo de la Inscripción**

**31**

**Paseo de la Inscripción**

**32**

**Paseo de la Inscripción**

**33**

**Paseo de la Inscripción**

**34**

**Paseo de la Inscripción**

**35**

**Paseo de la Inscripción**

**36**

**Paseo de la Inscripción**

**37**

**Paseo de la Inscripción**

**38**

**Paseo de la Inscripción**

**39**

**Paseo de la Inscripción**

**40**

**Paseo de la Inscripción**

**41**

**Paseo de la Inscripción**

**42**

**Paseo de la Inscripción**

**43**

**Paseo de la Inscripción**

**44**

**Paseo de la Inscripción**

**45**

**Paseo de la Inscripción**

**46**

**Paseo de la Inscripción**

**47**

**Paseo de la Inscripción**

**48**

**Paseo de la Inscripción**","None, Arabic",ICDAR_mini,"حمامات
مصلى
و
نسائي
حمامات
مصلى
و
رجالي
مصلى
حمامات
رجال
حمامات
و
نساء",3854.045867919922,,,"حمامات
مصلى
و
نسائي
حمامات
مصلى
و
رجالي
مصلى
حمامات
رجال
حمامات
و
نساء",3658.03599357605,,
icdar_tr_img_00149,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00149.jpg,"![img-0.jpeg](img-0.jpeg)

![img-1.jpeg](img-1.jpeg)","Latin, Arabic",ICDAR_mini,"شارع
الوصل
Rd
Wasl
الشوعي
Al
شارع
Al
Sho'ee
St",2470.402956008911,,,"شارع
الوصل
Rd
Wasl
الشوعي
Al
شارع
Al
Sho'ee
St",922.3339557647705,,
icdar_tr_img_00168,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00168.jpg,الرجاء يمنع حمل السلاح داخل الصالة,Arabic,ICDAR_mini,"حمل
الرجاء
يمنع
داخل
السلاح
الصالة",2465.4440879821777,,,"حمل
الرجاء
يمنع
داخل
السلاح
الصالة",796.8969345092773,,
icdar_tr_img_00170,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00170.jpg,"![img-0.jpeg](img-0.jpeg)

نقل بضائع
29 267 103
20 396 206 / 20 396 207","Latin, Symbols, Arabic",ICDAR_mini,"ابن
بضائع
نقل
29
267
103
/",2922.8780269622803,,,"ابن
بضائع
نقل
29
267
103
/",2263.1969451904297,,
icdar_tr_img_00194,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00194.jpg,"# مكتبـة نوين النسيـجة

## أول مكتبة نسائية بالمملكة

### من هنا مدخل المكتبة

**07977AAA**

**1777100**

**المركز**

**مكتبة طنطا**

**مكتبة طنطا**

**الطبعة الأولى**

**1997**

**الطبعة الأولى**

**1997**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**",Arabic,ICDAR_mini,"النسوة
نون
مكتبة
فقط
للنساء
نون
النسوة
مكتبة
مدخل
هنا
من
أول
مكتبة
نسائية
بالمملكة
المكتبة
هنا
مدخل
من
المكتبة
١٧٣٢١٥٥٠٠
٠٥٦٩٦٣٨٨٨
قرطاسية
تحضيرات
جاهزة
هدايا
ملف
إنجاز
خدمات
طالب
ملف
الأسبوع
التمهيدي",6141.169786453247,,,"النسوة
نون
مكتبة
فقط
للنساء
نون
النسوة
مكتبة
مدخل
هنا
من
أول
مكتبة
نسائية
بالمملكة
المكتبة
هنا
مدخل
من
المكتبة
١٧٣٢١٥٥٠٠
٠٥٦٩٦٣٨٨٨
قرطاسية
تحضيرات
جاهزة
هدايا
ملف
إنجاز
خدمات
طالب
ملف
الأسبوع
التمهيدي",2595.729112625122,,
icdar_tr_img_00198,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00198.jpg,"^{}[] W

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1","Arabic, Latin",ICDAR_mini,"حُكومَةُ
دُبَيّ
AL
BARSHA
POLICE
STATION
البرشاء
شرطة
مركز",2467.616081237793,,,"حُكومَةُ
دُبَيّ
AL
BARSHA
POLICE
STATION
البرشاء
شرطة
مركز",1409.0838432312012,,
icdar_tr_img_00214,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00214.jpg,"# جزر أمواج
## Amwaj Islands

![img-0.jpeg](img-0.jpeg)

![img-1.jpeg](img-1.jpeg)","Symbols, Arabic, Latin",ICDAR_mini,"أمواج
جزر
Islands
Amwaj
عراد
الحد
-
Hidd
Arad
-",2448.568105697632,,,"أمواج
جزر
Islands
Amwaj
عراد
الحد
-
Hidd
Arad
-",1163.6850833892822,,
icdar_tr_img_00218,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00218.jpg,"![img-0.jpeg](img-0.jpeg)

^{}[] LES ENFANTS DU BRIO","Arabic, Latin",ICDAR_mini,"للمسلمين
مكة
فقط
المكرمة
Only
Makkah
Muslims
LES
ENFANTS
DU",2467.6289558410645,,,"للمسلمين
مكة
فقط
المكرمة
Only
Makkah
Muslims
LES
ENFANTS
DU",994.0688610076904,,
icdar_tr_img_00222,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00222.jpg,"# 20

## بَنِتْ الْأَْسَان
### AMEN BANK

توقيت فتح شبابيك للعموم

من الاثنين إلى الجمعة
حصة عادية من غرة سيتممر إلى 30 جوان
ما عَدل رمضان: 16H00-08H00
حصة واحدة من غرة جويلية إلى غرة رمضان
12H30-07H15
رمضــــان: 12H45-08H30
توقيت سيفي: 12H30-07H15
السبت والأحد: راحة أسبوعية

Horaire d'ouverture des guichets
pour le public
De Lundi au vendredi
Séance normale de 1er septembre au 20 juin
(Sauf ramadas): 08H00-16H00
Séance unique du 1er Juillet au début
du mois de Ramadan
12H15-12H30
Ramadan: 08H30-12H40
Séance unique après le mois de Ramadan
Somadi & Dimanche: Chômés

![img-0.jpeg](img-0.jpeg)","Symbols, Arabic, Latin",ICDAR_mini,"الأمان
بنك
BANK
AMEN
توقيت
شبابيك
فتح
للعموم
من
الإثنين
إلى
الجمعة
حصة
عادية
من
غرة
30
سبتمبر
إلى
جوان
ما
رمضان
عدي
16H00
:
08H00
-
غرة
حصة
غرة
جويلية
إلى
رمضان
واحدة
من
12H30
07H15:
-
رمضان
08H30:
12H45
-
توقيت
صيفي
12H30
07H15
-
أسبوعية
الأحد
راحة
السبت
و
:
Horaire
d'ouverture
des
guichets
le
public
pour
De
Lundi
vendredi
au
Séance
normale
du
septembre
juin
30
au
(Sauf
ramadan)
:08H00
16H00
-
Séance
du
unique
Juillet
début
au
mois
du
de
Ramadan
:
07H15
12H30
-
Ramadan
08H30
12H45
:
-
Séance
aprés
unique
le
de
mois
Ramadan
07H15
12H30
:
-
Samedi
Dimanche
&
Chômés
:",2544.8319911956787,,,"الأمان
بنك
BANK
AMEN
توقيت
شبابيك
فتح
للعموم
من
الإثنين
إلى
الجمعة
حصة
عادية
من
غرة
30
سبتمبر
إلى
جوان
ما
رمضان
عدي
16H00
:
08H00
-
غرة
حصة
غرة
جويلية
إلى
رمضان
واحدة
من
12H30
07H15:
-
رمضان
08H30:
12H45
-
توقيت
صيفي
12H30
07H15
-
أسبوعية
الأحد
راحة
السبت
و
:
Horaire
d'ouverture
des
guichets
le
public
pour
De
Lundi
vendredi
au
Séance
normale
du
septembre
juin
30
au
(Sauf
ramadan)
:08H00
16H00
-
Séance
du
unique
Juillet
début
au
mois
du
de
Ramadan
:
07H15
12H30
-
Ramadan
08H30
12H45
:
-
Séance
aprés
unique
le
de
mois
Ramadan
07H15
12H30
:
-
Samedi
Dimanche
&
Chômés
:",2091.3589000701904,,
icdar_tr_img_00237,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00237.jpg,"<table><tr><td colspan=""3"">![img-0.jpeg](img-0.jpeg)</td></tr></table>",Arabic,ICDAR_mini,"ابن
زهر",2492.478132247925,,,"ابن
زهر",1589.9097919464111,,
icdar_tr_img_00248,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00248.jpg,"# 051A 

![img-0.jpeg](img-0.jpeg)

## الدكتور / محمد علي علي حسن

## nissan

الدكتور / محمد ايبري واركو

## 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.","Latin, Symbols, Arabic",ICDAR_mini,"٥٤١٨
علي
حسن
/
علي
الدكتور
محمد
ssan
الدكتور
/
ايبري
واركو
محمد",2609.7640991210938,,,"٥٤١٨
علي
حسن
/
علي
الدكتور
محمد
ssan
الدكتور
/
ايبري
واركو
محمد",2522.6008892059326,,
icdar_tr_img_00259,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00259.jpg,"# 1999

![img-0.jpeg](img-0.jpeg)

بكر تصفية الدم تاركة
CENTRE DE DIALYSE TARGA","Arabic, None, Latin",ICDAR_mini,"مركز
تصفية
الدم
تاركَة
TARGA
DIALYSE
DE
CENTRE",2473.520040512085,,,"مركز
تصفية
الدم
تاركَة
TARGA
DIALYSE
DE
CENTRE",1228.9657592773438,,
icdar_tr_img_00260,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00260.jpg,"<table><tr><td colspan=""2"">![img-0.jpeg](img-0.jpeg)</td></tr></table>",Arabic,ICDAR_mini,"التقليدية
المهني
حرف
الصناعة
التكوين
في
مركز",2590.1262760162354,,,"التقليدية
المهني
حرف
الصناعة
التكوين
في
مركز",845.5638885498047,,
icdar_tr_img_00269,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00269.jpg,الصفح قبل المرجح,Arabic,ICDAR_mini,"الرفع
قبل
الدفع",2457.310914993286,,,"الرفع
قبل
الدفع",1617.1960830688477,,
icdar_tr_img_00277,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00277.jpg,"# ![img-0.jpeg](img-0.jpeg) 

DEPUIS 194320
![img-1.jpeg](img-1.jpeg)

PURE SEMOULE DE BLE DUR PURE DURUM WHEAT SEMOLINA","Arabic, Latin",ICDAR_mini,"السنبلة
الذهبية
D'OR
L'EPI
منذ
1943
DEPUIS
3
M'hammes
DUR
BLE
SEMOLINA
DE
SEMOULE
WHEAT
PURE
DURUM
PURE",2598.5360145568848,,,"السنبلة
الذهبية
D'OR
L'EPI
منذ
1943
DEPUIS
3
M'hammes
DUR
BLE
SEMOLINA
DE
SEMOULE
WHEAT
PURE
DURUM
PURE",2711.0440731048584,,
icdar_tr_img_00278,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00278.jpg,# ![img-0.jpeg](img-0.jpeg),"Latin, Arabic",ICDAR_mini,"ومستودع
الغذائية
الحكمي
للمواد
هاتف
3190552",2613.919973373413,,,"ومستودع
الغذائية
الحكمي
للمواد
هاتف
3190552",2280.8191776275635,,
icdar_tr_img_00285,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00285.jpg,"![img-0.jpeg](img-0.jpeg)

^{}[] وادي بو خالفة
^{}[] CUEO BOUKHALES","Latin, Arabic",ICDAR_mini,"خالفة
وادي
بو
OUED
BOUKHALFA",2492.419719696045,,,"خالفة
وادي
بو
OUED
BOUKHALFA",1547.389030456543,,
icdar_tr_img_00293,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00293.jpg,<table><tr><th>طريقة</th><td>TABARKA</td></tr><tr><th>جندوبة</th><td>JENDOUBA</td></tr><tr><th>بـأجة</th><td>B E J A</td></tr><tr><th>عين دراهم</th><td>AIN DRAHAM</td></tr></table>,"Arabic, None, Latin",ICDAR_mini,"جندوبة
JENDOUBA
باجة
BEJA
طبرقة
TABARKA
دراهم
عين
AiN
DRAHAM",2511.500835418701,,,"جندوبة
JENDOUBA
باجة
BEJA
طبرقة
TABARKA
دراهم
عين
AiN
DRAHAM",1187.4380111694336,,
icdar_tr_img_00298,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00298.jpg,"![img-0.jpeg](img-0.jpeg)

# لوردا

## 2021

### 1000 M

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**

**القدس**","Latin, Arabic",ICDAR_mini,"المسارحة
احد
صامطة
الطوال
الشبيكة
٥٠٠
م
500
M",2589.387893676758,,,"المسارحة
احد
صامطة
الطوال
الشبيكة
٥٠٠
م
500
M",2513.11993598938,,
icdar_tr_img_00310,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00310.jpg,"<table><tr><td colspan=""3"">![img-0.jpeg](img-0.jpeg)</td></tr></table>","Latin, Arabic",ICDAR_mini,"خياط
امواج
الأقمشة
الرجالية
للخياطة
8939629
٠٥٥٠٣٢١٢٦٩",2558.666229248047,,,"خياط
امواج
الأقمشة
الرجالية
للخياطة
8939629
٠٥٥٠٣٢١٢٦٩",1617.7411079406738,,
icdar_tr_img_00334,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00334.jpg,"# **Express Service**

![img-0.jpeg](img-0.jpeg)","Arabic, Latin",ICDAR_mini,"ى
مغاسل
الأفق
LAUNDRY
ALـOFOQ
خدمة
سريعة
Service
OFOQ
Express",2491.1460876464844,,,"ى
مغاسل
الأفق
LAUNDRY
ALـOFOQ
خدمة
سريعة
Service
OFOQ
Express",1726.111888885498,,
icdar_tr_img_00383,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00383.jpg,"![img-0.jpeg](img-0.jpeg)

![img-1.jpeg](img-1.jpeg)","Arabic, None, Latin",ICDAR_mini,"20
السعر
20
6
هبه
HEBA
إطفاء
حريق
صندوق
FIRE
HOSE
CABINET",3746.638059616089,,,"20
السعر
20
6
هبه
HEBA
إطفاء
حريق
صندوق
FIRE
HOSE
CABINET",2043.7119007110596,,
icdar_tr_img_00384,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00384.jpg,"# 69,80

![img-0.jpeg](img-0.jpeg)","Latin, Arabic",ICDAR_mini,"صيدلية
صيدلية
شقرون",2549.3969917297363,,,"صيدلية
صيدلية
شقرون",1228.5640239715576,,
icdar_tr_img_00395,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00395.jpg,"$$
\begin{aligned}
& \text { RUE } \\
& \text { LES ANDALOUS }
\end{aligned}
$$","Latin, Arabic",ICDAR_mini,"نهج
الاندلس
RUE
ANDALOUS
DES",2446.815013885498,,,"نهج
الاندلس
RUE
ANDALOUS
DES",1129.5769214630127,,
icdar_tr_img_00409,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00409.jpg,"![img-0.jpeg](img-0.jpeg)

شارع الخليج العربي
Arabian Gulf Street","Latin, Arabic",ICDAR_mini,"طريق
25
شارع
الخليج
العربي
Gulf
Arabian
Street",2458.0509662628174,,,"طريق
25
شارع
الخليج
العربي
Gulf
Arabian
Street",828.0758857727051,,
icdar_tr_img_00456,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00456.jpg,"![img-0.jpeg](img-0.jpeg)

![img-1.jpeg](img-1.jpeg)

# رخصة الاستفسار

## امازيغ للاسفار

ص. 393 457
21 224 175

### AGENCE DE VOYAGES

<table><tr><td>Amateur</td><td>رحلات داخلية وخارجية<br/>عمرة على مدار السنة<br/>تذاكر سفر</td></tr><tr><td>Travel</td><td></td></tr></table>

^{}[] ges
^{}[] aménage","Arabic, Latin",ICDAR_mini,"igh
Ama
Travel
أسفار
457
393
96
وكالة
175
224
21
VOYAGES
DE
AGENCE
داخلية
رحلات
وخارجية
أمازيغ
Ama
للأسفار
على
عمرة
السنة
مدار
تذاكر
Travel
ges
ménage",2759.596824645996,,,"igh
Ama
Travel
أسفار
457
393
96
وكالة
175
224
21
VOYAGES
DE
AGENCE
داخلية
رحلات
وخارجية
أمازيغ
Ama
للأسفار
على
عمرة
السنة
مدار
تذاكر
Travel
ges
ménage",1591.0978317260742,,
icdar_tr_img_00459,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00459.jpg,"![img-0.jpeg](img-0.jpeg)

$$
\begin{aligned}
& \text { 今 } \\
& \text { 今 }
\end{aligned}
$$","Latin, None, Arabic",ICDAR_mini,"جواجم
فطور
صباح
بونجورنو
ياغورت
دياري",2453.824043273926,,,"جواجم
فطور
صباح
بونجورنو
ياغورت
دياري",3733.4201335906982,,
icdar_tr_img_00512,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00512.jpg,# 8. 5015,Arabic,ICDAR_mini,تازركة,2466.593027114868,,,تازركة,1909.7719192504883,,
icdar_tr_img_00543,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00543.jpg,"بن لادن قسم الأساسات
BIN LADIN PILING

ت / ٢٦٦٣٤٠٤ فاكس / ٢٦٢٦٣٤٧ ص-ب / ١٥٥٥ دبي
Tel. 2663404 Fax. 2626347 P.O.Box. 1555 Dubai","Latin, Arabic",ICDAR_mini,"الأساسات
قسم
لادن
بن
LADIN
BIN
PILING
٢٦٦٣٤٠٤
فاكس/
ت/
٢٦٢٦٣٤٧
١٥٥٥
ص-ب/
دبي
26266347
Dubai
Fax.
P.O.Box.
1555
Tel.
2663404",4731.049060821533,,,"الأساسات
قسم
لادن
بن
LADIN
BIN
PILING
٢٦٦٣٤٠٤
فاكس/
ت/
٢٦٢٦٣٤٧
١٥٥٥
ص-ب/
دبي
26266347
Dubai
Fax.
P.O.Box.
1555
Tel.
2663404",1173.4552383422852,,
icdar_tr_img_00557,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00557.jpg,"# البنج الذي

# Medical City

الصين، بلندن، المتلقي

مشير التحاليل الطبية
Laboratoire D'analyses Médicales","Latin, Arabic",ICDAR_mini,"الطبي
المجمع
Medical
City
المغناطيسي
بالرنين
التصوير
مخبر
التحاليل
الطبية
Médicales
D'analyses
Laboratoire",2585.310220718384,,,"الطبي
المجمع
Medical
City
المغناطيسي
بالرنين
التصوير
مخبر
التحاليل
الطبية
Médicales
D'analyses
Laboratoire",1594.8688983917236,,
icdar_tr_img_00573,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00573.jpg,"# La Ipii gaza

# Commercial Complex

![img-0.jpeg](img-0.jpeg)","Latin, Arabic",ICDAR_mini,"شبرا
مجمع
nmercial
Complex",2552.557945251465,,,"شبرا
مجمع
nmercial
Complex",2608.3030700683594,,
icdar_tr_img_00591,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00591.jpg,"100000
100000","Latin, Arabic",ICDAR_mini,"شحن
نقطة
ooredoo",2486.4470958709717,,,"شحن
نقطة
ooredoo",968.4991836547852,,
icdar_tr_img_00593,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00593.jpg,"![img-0.jpeg](img-0.jpeg)

# **7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**

**7989988**","Latin, Arabic",ICDAR_mini,"ربط
حزام
الآمان
Seat
Wear
Belt",2457.0531845092773,,,"ربط
حزام
الآمان
Seat
Wear
Belt",1103.49702835083,,
icdar_tr_img_00620,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00620.jpg,"# Partì Socialiste Unifié - Maroc

الحزب الاشتراكي الموجد - المغرب

![img-0.jpeg](img-0.jpeg)

![img-1.jpeg](img-1.jpeg)","Symbols, Arabic, Latin",ICDAR_mini,"le
Parti
Socialiste
Unifié
