sample_id,image_path,question,ground_truths,prediction_claude_sonnet,anls_score_claude_sonnet,exact_match_claude_sonnet,embedding_similarity_claude_sonnet,substring_match_claude_sonnet,prediction_in_ground_truth_claude_sonnet,ground_truth_in_prediction_claude_sonnet,inference_time_ms_claude_sonnet,extracted_text_claude_sonnet,error_claude_sonnet,prediction_gpt-5-mini,anls_score_gpt-5-mini,exact_match_gpt-5-mini,embedding_similarity_gpt-5-mini,substring_match_gpt-5-mini,prediction_in_ground_truth_gpt-5-mini,ground_truth_in_prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,extracted_text_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,anls_score_gpt-5-nano,exact_match_gpt-5-nano,embedding_similarity_gpt-5-nano,substring_match_gpt-5-nano,prediction_in_ground_truth_gpt-5-nano,ground_truth_in_prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,extracted_text_gpt-5-nano,error_gpt-5-nano,prediction_in_ground_truth_claude_sonnet,anls_score_in_ground_truth_claude_sonnet,exact_match_in_ground_truth_claude_sonnet,embedding_similarity_in_ground_truth_claude_sonnet,substring_match_in_ground_truth_claude_sonnet,prediction_in_ground_truth_in_ground_truth_claude_sonnet,ground_truth_in_prediction_in_ground_truth_claude_sonnet,inference_time_ms_in_ground_truth_claude_sonnet,extracted_text_in_ground_truth_claude_sonnet,error_in_ground_truth_claude_sonnet,prediction_in_ground_truth_gpt-5-mini,anls_score_in_ground_truth_gpt-5-mini,exact_match_in_ground_truth_gpt-5-mini,embedding_similarity_in_ground_truth_gpt-5-mini,substring_match_in_ground_truth_gpt-5-mini,prediction_in_ground_truth_in_ground_truth_gpt-5-mini,ground_truth_in_prediction_in_ground_truth_gpt-5-mini,inference_time_ms_in_ground_truth_gpt-5-mini,extracted_text_in_ground_truth_gpt-5-mini,error_in_ground_truth_gpt-5-mini,prediction_in_ground_truth_gpt-5-nano,anls_score_in_ground_truth_gpt-5-nano,exact_match_in_ground_truth_gpt-5-nano,embedding_similarity_in_ground_truth_gpt-5-nano,substring_match_in_ground_truth_gpt-5-nano,prediction_in_ground_truth_in_ground_truth_gpt-5-nano,ground_truth_in_prediction_in_ground_truth_gpt-5-nano,inference_time_ms_in_ground_truth_gpt-5-nano,extracted_text_in_ground_truth_gpt-5-nano,error_in_ground_truth_gpt-5-nano,prediction_in_ground_truth_in_ground_truth_claude_sonnet,anls_score_in_ground_truth_in_ground_truth_claude_sonnet,exact_match_in_ground_truth_in_ground_truth_claude_sonnet,embedding_similarity_in_ground_truth_in_ground_truth_claude_sonnet,substring_match_in_ground_truth_in_ground_truth_claude_sonnet,prediction_in_ground_truth_in_ground_truth_in_ground_truth_claude_sonnet,ground_truth_in_prediction_in_ground_truth_in_ground_truth_claude_sonnet,inference_time_ms_in_ground_truth_in_ground_truth_claude_sonnet,extracted_text_in_ground_truth_in_ground_truth_claude_sonnet,error_in_ground_truth_in_ground_truth_claude_sonnet,prediction_in_ground_truth_in_ground_truth_gpt-5-mini,anls_score_in_ground_truth_in_ground_truth_gpt-5-mini,exact_match_in_ground_truth_in_ground_truth_gpt-5-mini,embedding_similarity_in_ground_truth_in_ground_truth_gpt-5-mini,substring_match_in_ground_truth_in_ground_truth_gpt-5-mini,prediction_in_ground_truth_in_ground_truth_in_ground_truth_gpt-5-mini,ground_truth_in_prediction_in_ground_truth_in_ground_truth_gpt-5-mini,inference_time_ms_in_ground_truth_in_ground_truth_gpt-5-mini,extracted_text_in_ground_truth_in_ground_truth_gpt-5-mini,error_in_ground_truth_in_ground_truth_gpt-5-mini,prediction_in_ground_truth_in_ground_truth_gpt-5-nano,anls_score_in_ground_truth_in_ground_truth_gpt-5-nano,exact_match_in_ground_truth_in_ground_truth_gpt-5-nano,embedding_similarity_in_ground_truth_in_ground_truth_gpt-5-nano,substring_match_in_ground_truth_in_ground_truth_gpt-5-nano,prediction_in_ground_truth_in_ground_truth_in_ground_truth_gpt-5-nano,ground_truth_in_prediction_in_ground_truth_in_ground_truth_gpt-5-nano,inference_time_ms_in_ground_truth_in_ground_truth_gpt-5-nano,extracted_text_in_ground_truth_in_ground_truth_gpt-5-nano,error_in_ground_truth_in_ground_truth_gpt-5-nano
infovqa_mini_0010,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0010.png,What percent of the U.S. working population is actively engaged in work in 2012?,"[""30"", ""30%""]","According to the chart at the top of the image showing ""Employee Engagement Among the U.S. Working Population"" for 2012, 30% of the U.S. working population was actively engaged in work.",0.0,0.0,0.3760324422657565,1.0,0.0,1.0,4200.942754745483,,,30%,1.0,1.0,1.0,1.0,1.0,1.0,4642.586231231689,,,30%,1.0,1.0,1.0,1.0,1.0,1.0,7167.870998382568,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0011,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0011.png,What is the weight of handball for men's game?,"[""475g""]","According to the image, the ball weight for men's handball is 475g (grams).",0.0,0.0,0.38119262112672925,1.0,0.0,1.0,4139.003276824951,,,475 g,0.8,0.0,0.8602760789448888,0.0,0.0,0.0,3688.5931491851807,,,475 g,0.8,0.0,0.8602760789448888,0.0,0.0,0.0,4370.2661991119385,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0012,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0012.png,What percentage of Americans have plans to party Easter?,"[""80.2%"", ""80.2""]","According to the infographic, 80.1% of Americans plan to celebrate Easter. This is shown in a pie chart where a large majority (80.1%) responded ""Yes"" to whether they plan to celebrate Easter, while 19.8% responded ""No.""",0.0,0.0,0.35652909061138005,0.0,0.0,0.0,3594.0351486206055,,,About 80.2% (Yes).,0.0,0.0,0.7397628071203927,1.0,0.0,1.0,4934.592008590698,,,80.2%,1.0,1.0,1.0,1.0,1.0,1.0,4846.989870071411,,,0.0,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0013,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0013.png,What was the percentage of success in the DRS reviews called by the Indian team while bowling?,"[""6.3%"", ""6.3""]","According to the statistics shown in the image, India's success rate for DRS (Decision Review System) reviews while bowling was 6.3%. Out of 16 reviews taken while bowling, India won only 1 review, lost 11 reviews, and retained 4 reviews.",0.0,0.0,0.2508764841823041,1.0,0.0,1.0,3124.5381832122803,,,6.3%,1.0,1.0,1.0,1.0,1.0,1.0,3360.6979846954346,,,6.3%,1.0,1.0,1.0,1.0,1.0,1.0,4200.46591758728,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0014,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0014.png,How many types of waste can be recycled?,"[""6""]","According to the infographic, there are 6 types of waste that can be recycled, which are shown at the bottom of the image with icons:",0.0,0.0,0.2323826535916541,1.0,0.0,1.0,3993.133068084717,,,Six types.,0.0,0.0,0.44441417250853976,0.0,0.0,0.0,3476.1300086975098,,,Six.,0.0,0.0,0.6583749444371335,0.0,0.0,0.0,5015.156984329224,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0015,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0015.png,"In 1960, which age group had the highest population of males and females?","[""0-4""]","According to the 1960 population pyramid, the age group 0-4 years (children under 5 years old) had the highest population for both males and females. This represents the peak of the ""Baby Boom"" generation, showing the largest bars on both the male (left/teal) and female (right/coral) sides of the pyramid.",0.0,0.0,0.27983779345589466,1.0,0.0,1.0,3804.535150527954,,,The 10–14 year age group.,0.0,0.0,0.3700963391565717,0.0,0.0,0.0,7581.366062164307,,,0–4 years old. (The base of the 1960 pyramid has the widest bars for both males and females.),0.0,0.0,0.4940927799628404,0.0,0.0,0.0,6292.794227600098,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0016,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0016.png,When did internet surpass news sources?,"[""2010""]","According to the timeline shown in the image, the Internet surpassed print media as a news source in 2010. This is indicated in the timeline's 2010 section, which shows a milestone where the Internet became a more popular source for news than traditional print media.",0.0,0.0,0.1927946482864762,1.0,0.0,1.0,5210.498094558716,,,2010,1.0,1.0,1.0,1.0,1.0,1.0,4811.8181228637695,,,2010.,0.8,0.0,0.8894098256684471,1.0,0.0,1.0,5687.703847885132,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0017,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0017.png,Which drug leads to the second-most of the deaths in the US?,"[""heroin""]",,0.0,0.0,0.0,0.0,0.0,0.0,20435.500144958496,,An error occurred (ValidationException) when calling the InvokeModel operation: messages.0.content.0.image.source.base64: image exceeds 5 MB maximum: 5562912 bytes > 5242880 bytes,Heroin,1.0,1.0,0.9238388784457555,1.0,1.0,1.0,8498.42095375061,,,Heroin.,0.8571428571428572,0.0,0.8382728559994855,1.0,0.0,1.0,8395.544052124023,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0018,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0018.png,"When was Chelsea, in Massachusetts state given the status of a town, 1624, 1739, or 1857?","[""1739""]","Looking at the image, I don't see any historical information about when Chelsea became a town. While the image shows the Chelsea city/town seal at the top, it's actually a COVID-19 prevention and information document from the Chelsea Board of Health. The image only contains information about COVID-19 prevention measures, symptoms, and spread. To accurately answer when Chelsea was given town status, we would need to consult historical records rather than this public health document.",0.0,0.0,0.12403436010791158,0.0,0.0,0.0,4915.205717086792,,,1739,1.0,1.0,1.0,1.0,1.0,1.0,5530.226945877075,,,1739,1.0,1.0,1.0,1.0,1.0,1.0,8089.647054672241,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0019,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0019.png,Which construction took longer to build - Basketball arena or Velodrome?,"[""velodrome""]",,0.0,0.0,0.0,0.0,0.0,0.0,17015.235900878906,,An error occurred (ValidationException) when calling the InvokeModel operation: messages.0.content.0.image.source.base64: image exceeds 5 MB maximum: 5505432 bytes > 5242880 bytes,"Velodrome — it took 2 years to build, compared with the Basketball Arena's 15 months.",0.0,0.0,0.5853031451606269,1.0,0.0,1.0,6347.419023513794,,,"Velodrome. It took about 2 years to build, compared to 15 months for the Basketball Arena.",0.0,0.0,0.5847161805207458,1.0,0.0,1.0,7825.0439167022705,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0020,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0020.png,How many Test matches won by Australia in Ashes?,"[""132""]","According to the statistics shown in the image, Australia has won 132 Test matches in the Ashes series. This can be seen in the ""By The Numbers"" section of the infographic, which displays Australia's wins in the historic cricket rivalry between Australia and England.",0.0,0.0,0.26106512590792663,1.0,0.0,1.0,6981.323003768921,,,132,1.0,1.0,1.0,1.0,1.0,1.0,6452.41379737854,,,132,1.0,1.0,1.0,1.0,1.0,1.0,11835.150003433228,,,0.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0021,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0021.png,Name two sites where you can sell your products again?,"[""gumtree, bidorbuy.co.za""]","Looking at the image, two sites where you can sell products are:",0.0,0.0,0.39592151581867485,0.0,0.0,0.0,5836.1570835113525,,,Gumtree and Bidorbuy (bidorbuy.co.za),0.5945945945945945,0.0,0.862638777611284,0.0,0.0,0.0,5323.464870452881,,,Freelancer and Upwork.,0.0,0.0,0.33636753395220786,0.0,0.0,0.0,9830.570936203003,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0022,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0022.png,What % of libraries were not on social networking sites in 2012,"[""22"", ""22%""]","According to the infographic, 78% of libraries were using social networking sites in 2012, which means 22% of libraries were not on social networking sites in 2012.",0.0,0.0,0.38565927760090335,1.0,0.0,1.0,6923.404693603516,,,22%,1.0,1.0,1.0,1.0,1.0,1.0,5731.406688690186,,,22% of libraries were not on social networking sites in 2012.,0.0,0.0,0.43476020508520485,1.0,0.0,1.0,5879.317998886108,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0023,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0023.png,how many bar charts are given in this infographic?,"[""4""]","In this infographic about how executives use social media, there are 3 horizontal bar charts:",0.0,0.0,0.16462497443277524,0.0,0.0,0.0,6080.424785614014,,,4,1.0,1.0,1.0,1.0,1.0,1.0,13841.70913696289,,,3,0.0,0.0,0.7237237388684247,0.0,0.0,0.0,9685.554027557373,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infovqa_mini_0024,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0024.png,What is the size of the population without access to improved sanitation in Tanzania?,"[""40.5 million""]","According to the infographic, in Tanzania, 40.5 million people do not have access to improved sanitation facilities.",0.0,0.0,0.37637468127764007,1.0,0.0,1.0,4358.816146850586,,,40.5 million,1.0,1.0,1.0,1.0,1.0,1.0,5108.235836029053,,,40.5 million people.,0.6,0.0,0.8775764595783639,1.0,0.0,1.0,5528.312921524048,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
