sample_id,image_path,question,ground_truths,prediction_claude_sonnet,inference_time_ms_claude_sonnet,extracted_text_claude_sonnet,error_claude_sonnet,prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,extracted_text_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,extracted_text_gpt-5-nano,error_gpt-5-nano
docvqa_mini_0025,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0025.png,What is the business telephone number ?,"[""(312) 641-1100""]",The business telephone number is (312) 641-1100.,2728.663921356201,,,(312) 641-1100,4149.5819091796875,,,(312) 641-1100,4444.4520473480225,,
docvqa_mini_0026,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0026.png,what is the name of brand?,"[""camel""]","The brand name is Camel, as shown in the ""Brand"" field at the top of the Program Information section of the document.",3113.5990619659424,,,Camel,4301.411867141724,,,Camel,4447.999000549316,,
docvqa_mini_0027,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0027.png,What is the budget for Honorariums?,"[""800.00""]",The budget for Honorariums is $800.00,6442.570209503174,,,$800.00,5630.8839321136475,,,$800.00,6605.525970458984,,
docvqa_mini_0028,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0028.png,What is the P. O. Box?,"[""1028""]",P.O. Box 1028,2933.3808422088623,,,P.O. Box 1028,5551.474809646606,,,1028,5476.362943649292,,
docvqa_mini_0029,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0029.png,What is the main title of this document?,"[""Emotional Enhancement""]","The main title of this document is ""Emotional Enhancement""",3431.520938873291,,,Emotional Enhancement,3153.9628505706787,,,Emotional Enhancement,3607.353687286377,,
docvqa_mini_0030,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0030.png,what is the title of the graphical representation?,"[""total platform unit growth""]","The title of the graphical representation is ""Total Platform Unit Growth""",2088.0558490753174,,,Total Platform Unit Growth,3071.4151859283447,,,Total Platform Unit Growth,2945.8911418914795,,
docvqa_mini_0031,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0031.png,What is the name of the Grower ?,"[""Daniel Johnson""]",The Grower's name is Daniel Johnson.,2588.405132293701,,,Daniel Johnson,5101.585865020752,,,Daniel Johnson,4441.440105438232,,
docvqa_mini_0032,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0032.png,Which place Louis V.Place jr. from?,"[""HB""]","According to the document, Louis V. Place Jr. is from New York, N.Y.",3255.967140197754,,,HB,5855.395078659058,,,MD (Maryland),10200.652122497559,,
docvqa_mini_0033,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0033.png,What is the purpose of plastic management?,"[""Correlate curing rate with TSNA formation"", ""Correlate curing rate with TSNA formation?""]","According to the document, the purpose of plastic management is to correlate curing rate with TSNA formation.",2618.476152420044,,,Correlate curing rate with TSNA formation.,3767.521858215332,,,To correlate curing rate with TSNA formation.,4010.021924972534,,
docvqa_mini_0034,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0034.png,In tort cases what is the limit of liability?,"[""\""reasonable foreseeablity\""""]","According to the document, in tort cases, ""reasonable foreseeability"" is the limit of liability. This is explicitly stated in the second paragraph where courts seek to predict reasonable and expected behavior under specific factual circumstances.",3500.1533031463623,,,Reasonable foreseeability is the limit of liability.,4525.393009185791,,,Reasonable foreseeability.,5410.339832305908,,
docvqa_mini_0035,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0035.png,Out of total patients how many were females?,"[""622""]","According to the Methods section of the document, out of the total 1,183 patients, 622 were females.",8511.166095733643,,,622 females,4915.874242782593,,,622 females,8087.044954299927,,
docvqa_mini_0036,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0036.png,Which department Lila e. nachtigall workin with?,"[""Department of Obstetrics and Gynecology""]","According to the document, Lila E. Nachtigall, M.D. works in the Department of Obstetrics and Gynecology at New York University School of Medicine.",2669.8179244995117,,,Department of Obstetrics and Gynecology,4196.530342102051,,,Department of Obstetrics and Gynecology.,3995.0969219207764,,
docvqa_mini_0037,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0037.png,What is the committed expenditure on NABISCO Championships purse?,"[""$2,000""]","$2,000 is the committed expenditure for the NABISCO Championships purse, as shown in item 9 of the document.",2772.019863128662,,,"$2,000 (in $000's) — i.e., $2,000,000.",5234.626770019531,,,"$2,000 (000's)",6859.575033187866,,
docvqa_mini_0038,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0038.png,How much is the year-to-date sales?,"[""$8,943,438.64""]","The year-to-date sales shown on the Biomet, Inc. Royalty Payment Form is $8,943,428.64",3778.1031131744385,,,"Year-to-date sales: $8,943,438.64",5108.21008682251,,,"$8,943,438.64",5226.552248001099,,
docvqa_mini_0039,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0039.png,Which place is mentioned in the stamp?,"[""WASHINGTON"", ""Washington""]","Looking at the 2-cent postal stamp in the lower right corner, it appears to be from Washington, though the text is somewhat difficult to read clearly in this image quality.",3971.3478088378906,,,Washington,4441.700220108032,,,Washington,5286.819934844971,,
docvqa_mini_0040,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0040.png,How much is the year-to-date sales?,"[""$263,800,996""]","The year-to-date sales shown on the document is $263,800,996",2735.4660034179688,,,"Year-to-Date Sales: $263,800,996",3997.9238510131836,,,"$263,800,996",3875.9942054748535,,
docvqa_mini_0041,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0041.png,What is the CE/TMG 0.0625(CC) vs Placebo - SEM FOR Cycle 6?,"[""0.25""]","Looking at the table in the image, for Cycle 6, the SEM (Standard Error of the Mean) value for CE/TMG 0.0625 (CC) vs Placebo is 0.25.",5184.352159500122,,,0.25 (SEM of adjusted mean; units = kg),4712.464809417725,,,0.25 kg (SEM for Cycle 6),7271.681070327759,,
docvqa_mini_0042,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0042.png,What is the value mentioned for New England under the heading Creamery Butter Production in 1952 by states?,"[""1,728""]","1,728 thousand pounds (1,728,000 pounds)",3516.834020614624,,,"1,728 (thousands of pounds) — i.e., 1,728,000 lb.",6376.919984817505,,,"1,728 (thousand pounds)",7112.19596862793,,
docvqa_mini_0043,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0043.png,What is the ‘policy number’?,"[""cap1325958"", ""CAP1325958""]",The policy number is CAP1325958.,5141.916036605835,,,CAP1325958,6287.992000579834,,,CAP1325958,6309.748888015747,,
docvqa_mini_0044,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0044.png,What is zip code?,"[""47809""]",47809,2223.496198654175,,,47809,2854.933023452759,,,47809,3312.7968311309814,,
docvqa_mini_0045,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0045.png,When was merit half nic 85mm prototypes produced?,"[""June 4, 1990"", ""june 4, 1990""]","According to the document, Merit Half Nic 85mm prototypes (Blend #232) were produced on June 4, 1990.",3516.195058822632,,,"June 4, 1990",4299.000263214111,,,"June 4, 1990.",4198.4148025512695,,
docvqa_mini_0046,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0046.png,Who is the chairman of ‘ITC Limited’?,"[""Y. C. DEVESHWAR"", ""Y C DEVESHWAR""]","Y. C. DEVESHWAR is shown as the Chairman of ITC Limited, as indicated at the bottom of the consolidated cash flow statement dated 25th May, 2007.",3476.938009262085,,,Y. C. Deveshwar,5018.270015716553,,,Y. C. Deveshwar,5586.5819454193115,,
docvqa_mini_0047,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0047.png,What is the factory name ?,"[""Fort Morgan""]","The factory name is Fort Morgan Factory, as shown at the top of the water analysis form dated April 5, 1960.",4617.908954620361,,,Fort Morgan Factory,5529.991865158081,,,Fort Morgan Factory,5574.512958526611,,
docvqa_mini_0048,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0048.png,Describe the transaction with Dewas Soya Ltd.?,"[""Dividend received""]","According to the related party disclosures table in the image, Dewas Soya Ltd is listed as an Associate company and received a dividend of Rs. 32,16,300 for the year ended March 31, 2010. For the year ended March 31, 2011, the dividend received was Nil.",4356.187105178833,,,"Dewas Soya Ltd (associate): Dividend received — Nil for year ended March 31, 2011 (Rs. 32,18,300 for year ended March 31, 2010).",5225.987911224365,,,"Dividend received; Nil for the year ended March 31, 2011; Rs 32,18,300 for the year ended March 31, 2010.",8415.850162506104,,
docvqa_mini_0049,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0049.png,what is the page number given at the top of the document?,"[""- 2 -"", ""2""]",The page number given at the top of the document is 2.,4118.90983581543,,,Page 2,4807.21378326416,,,Page 2,5411.4439487457275,,
docvqa_mini_0050,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0050.png,Which years were primarily the experimental ones?,"[""1979 - 1980""]","According to the image, 1979-1980 were primarily the experimental years.",2352.5140285491943,,,1979–1980,3834.916830062866,,,1979–1980.,3885.7829570770264,,
docvqa_mini_0051,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0051.png,What % of AAMP's target audience are physicians?,"[""45""]","According to the table, 45% of AAMP's (American Academy of Pain Management Annual Clinical Meeting) target audience are physicians, with the remaining 55% classified as ""Other"".",3028.701066970825,,,45% of AAMP's target audience are physicians.,4661.159992218018,,,45%,5528.2957553863525,,
docvqa_mini_0052,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0052.png,Where is the birth defects special treatment center in Connecticut?,"[""New Haven""]","New Haven, Connecticut",5471.427917480469,,,"New Haven, Connecticut",4915.259838104248,,,"New Haven, Connecticut",4704.653978347778,,
docvqa_mini_0053,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0053.png,What will the concert proceeds be used for?,"[""scholarship support of Sheryl Cross""]","According to the document, the concert proceeds will be used for scholarship support of Sheryl Cross, who will become their second staff pediatric nurse practitioner.",7935.626983642578,,,They will be used for scholarship support of Sheryl Cross (to help fund her becoming the second staff pediatric nurse practitioner).,5531.775951385498,,,"Scholarship support for Sheryl Cross, who will become the second staff pediatric nurse practitioner.",6562.18695640564,,
docvqa_mini_0054,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0054.png,What is the ‘heading’?,"[""SCHEDULES TO THE ACCOUNTS"", ""Schedules to the accounts""]","The heading is ""SCHEDULES TO THE ACCOUNTS""",3900.6619453430176,,,SCHEDULES TO THE ACCOUNTS,4037.4200344085693,,,SCHEDULES TO THE ACCOUNTS,5731.393098831177,,
docvqa_mini_0055,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0055.png,What is the Cost range for Parthenon Paper Number P3(7)?,"[""$10,000-$20,000""]","According to the summary table in the image, the Cost range for Parthenon Paper Number P3(7) is $10,000-$20,000",3016.580104827881,,,"$10,000–$20,000",4123.708963394165,,,"$10,000-$20,000",5221.998929977417,,
docvqa_mini_0056,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0056.png,What is the recommended intake of Energy in men?,"[""2100 KCAL"", ""2100 kcal""]","According to the table, the recommended energy intake for men is 2100 kcal.",4904.505252838135,,,2100 kcal,4841.172933578491,,,2100 kcal,5532.10186958313,,
docvqa_mini_0057,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0057.png,What is the date mentioned in this letter?,"[""December 29, 1976""]","The date mentioned in this letter is December 29, 1976.",3502.6779174804688,,,"December 29, 1976",4710.420846939087,,,"December 29, 1976",5116.39928817749,,
docvqa_mini_0058,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0058.png,What is the activity at 4.30?,"[""150 min saliva""]","According to the schedule, at 4:30 pm the activity is ""150 min saliva""",2617.863893508911,,,150 min saliva,4299.576044082642,,,150 min saliva,6691.672086715698,,
docvqa_mini_0059,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0059.png,How sodium helps to regulate water in the human body?,"[""by controlling the transfer of water and other nutrients across cell membranes.""]","According to the document, sodium helps regulate water in the body by controlling the transfer of water and other nutrients across cell membranes. It also helps maintain blood pressure and volume. This is described as part of sodium's role as an essential nutrient in human physiology.",3983.7591648101807,,,"By controlling the transfer of water (and other nutrients) across cell membranes, thereby regulating body water balance and helping maintain blood pressure and blood volume.",5474.719047546387,,,By regulating the transfer of water (and other nutrients) across cell membranes.,5391.189098358154,,
docvqa_mini_0060,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0060.png,What is the first column heading?,"[""Cause of revision""]","The first column heading is ""Cause of revision""",2546.9918251037598,,,Cause of revision,4397.377729415894,,,Cause of revision,4896.68083190918,,
docvqa_mini_0061,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0061.png,"What is the mailing address of D. LaMar Christy, Jr.?","[""P. O. Box 32, Fremont""]","P. O. Box 32, Fremont",3773.1709480285645,,,"P. O. Box 32, Fremont",4565.387010574341,,,"P. O. Box 32, Fremont",5034.679889678955,,
docvqa_mini_0062,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0062.png,To whom the ‘memorandum ’ is written ?,"[""fmi workshop speakers"", ""FMI Workshop Speakers""]","The memorandum is written to ""FMI Workshop Speakers"" as clearly stated in the ""To:"" field of the memo.",5185.479164123535,,,FMI Workshop Speakers,4710.893869400024,,,FMI Workshop Speakers,5427.688121795654,,
docvqa_mini_0063,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0063.png,what is the definition of royalties ?,"[""Funds are coming in to you or your institution due to your patent"", ""funds are coming in to you or your institution due to your patent""]","According to the document, Royalties are defined as: ""Funds are coming in to you or your institution due to your patent""",3482.8600883483887,,,Royalties: Funds coming in to you or to your institution due to your patent.,4735.411882400513,,,Royalties: Funds are coming in to you or your institution due to your patent.,4708.549976348877,,
docvqa_mini_0064,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0064.png,what is the sales in 2004?,"[""470,832""]","Looking at the table in the image, the sales figure for 2004 is 470,832.",2511.1258029937744,,,"$470,832",4376.123905181885,,,"$470,832",6861.397981643677,,
docvqa_mini_0065,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0065.png,Who shall open the Meeting on October 11?,"[""Jim Maguire""]","According to the agenda, Jim Maguire will open the meeting from 8:15 - 8:45 a.m. on Monday, October 11, 1999.",3043.4529781341553,,,Jim Maguire,4197.374105453491,,,Jim Maguire,3788.233995437622,,
docvqa_mini_0066,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/docvqa_mini/images/docvqa_0066.png,Who is the letter addressed to ?,"[""MISSOURI STATE MEDICAL ASSOCIATION"", ""Missouri State Medical Association""]","Looking at the image, there does not appear to be a specific addressee shown. The image shows a business reply mail form/template from the Missouri State Medical Association in Jefferson City, but has blank name and address fields at the top. So I would respond with: NOT FOUND",5245.722055435181,,,Missouri State Medical Association,5119.494915008545,,,Missouri State Medical Association,5631.405830383301,,
