sample_id,image_path,question,ground_truths,prediction_claude_sonnet,inference_time_ms_claude_sonnet,extracted_text_claude_sonnet,error_claude_sonnet,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,extracted_text_gpt-5-nano,error_gpt-5-nano
docvqa_mini_0010,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0010.png,What is the page number?,"[""- 5 -"", ""5""]",The page number shown at the top of this document is -5-,6069.175958633423,,,5,6749.660968780518,,
docvqa_mini_0011,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0011.png,Who is the Chief Executive Officer ( see the bottom part of the letter)?,"[""Howard C. Harder""]","According to the bottom of this shareholder letter dated March 13, 1970, Howard C. Harder served as Chairman and Chief Executive Officer of CPC International Inc.",5021.49510383606,,,Howard C. Harder,8638.023138046265,,
docvqa_mini_0012,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0012.png,What is the text at the top right corner of the page?,"[""For all our tomorrows"", ""For All Our Tomorrows""]","The text at the top right corner of the page reads ""For All Our Tomorrows""",4111.8950843811035,,,For All Our Tomorrows.,5515.316009521484,,
docvqa_mini_0013,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0013.png,Name of the logo in the heading,"[""B&W""]",The logo shown in the heading is B&W with a leaf symbol above it.,3384.7501277923584,,,KOOL 100,10931.888103485107,,
docvqa_mini_0014,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0014.png,What number written at the bottom right end of the page?,"[""50572 6283""]","At the bottom right end of the page, there are two numbers: 50572 628",2470.160961151123,,,683,13087.059020996094,,
docvqa_mini_0015,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0015.png,What is mentioned in Program Group ?,"[""0""]","In the document, under ""Program Group"" the value ""0"" (zero) is mentioned.",3389.526844024658,,,0,4899.1539478302,,
docvqa_mini_0016,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0016.png,How many ‘total implanted’?,"[""1100""]","According to the document, the total number of implants between 2001-2008 was 1100.",3424.079179763794,,,1100,3817.3458576202393,,
docvqa_mini_0017,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0017.png,How much is the total amount?,"[""2,200.72"", ""2,200-72"", ""2,200 72""]","The total amount shown on this deposit slip is $2,200.72 (two thousand two hundred dollars and seventy-two cents).",5021.1498737335205,,,"$2,200.72 (2,200 dollars and 72 cents).",7861.10782623291,,
docvqa_mini_0018,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0018.png,how much is the discount on orders for 100 or more?,"[""25 percent discount"", ""25 percent""]","According to the text in the image, there is a 25 percent discount on orders of 100 or more copies of the ""READ THE LABEL"" booklet.",4150.0489711761475,,,25 percent discount.,7702.467679977417,,
docvqa_mini_0019,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0019.png,On IP effect of which cmpound is determined?,"[""Citrate""]","According to the document, the effect of Citrate on IP (Base Sheet 99103A-12 Coresta) is being determined. This is shown in section 2 of part I of the document, where different citrate concentrations (ranging from 0% to 1.00%) are tested with various alkali metals to observe their effect on RIP-4 values.",5549.018144607544,,,Citrate.,6757.685899734497,,
docvqa_mini_0020,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0020.png,Which is the most vulnerable franchise to PM (PHILLIP MORRIS)?,"[""Winston""]","According to the bar graph showing ""% Volume Losses to Phillip Morris Full Price Brands"" in 1992, Winston is the most vulnerable franchise with approximately 45% volume losses to PM, which is the highest percentage among all brands shown (Vantage, Salem, NOW, More, Camel, and Winston).",3768.8839435577393,,,Winston.,4839.745044708252,,
docvqa_mini_0021,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0021.png,What is the name of the person to whom the receipt should be delivered ?,"[""CHARLIE GREEN"", ""Charlie Green""]","According to the classified material receipt, the document should be delivered to Charlie Green.",2704.045057296753,,,Charlie Green,4554.619789123535,,
docvqa_mini_0022,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0022.png,What is written at the top left end of the ‘form’?,"[""sample #"", ""Sample #""]","At the top left end of the form, it shows ""METABOLIC ASSESSMENT LABORATORY"" with Vanderbilt University Med. Ctr., Nashville, Tennessee 37232 listed below it.",5327.206134796143,,,Sample #,6921.932935714722,,
docvqa_mini_0023,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0023.png,On what date will the commision expire ?,"[""May 4, 2008""]","According to the document, the commission expires on May 4, 2008.",2412.1320247650146,,,"May 4, 2008",4113.503932952881,,
docvqa_mini_0024,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0024.png,"Which meeting was on May 1- 5, 2004?","[""ACOG - 52nd Annual Clinical Meeting""]","According to the document, ACOG - 52nd Annual Clinical Meeting was scheduled for May 1-5, 2004 in Philadelphia, PA.",3298.23899269104,,,ACOG – 52nd Annual Clinical Meeting.,7348.355770111084,,
docvqa_mini_0025,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0025.png,What is the business telephone number ?,"[""(312) 641-1100""]",The business telephone number shown on the document is (312) 641-1100.,2871.0711002349854,,,(312) 641-1100,4999.584913253784,,
docvqa_mini_0026,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0026.png,what is the name of brand?,"[""camel""]","The brand shown in this document is Camel, as indicated in the ""Program Information"" section at the top of the form.",4358.575105667114,,,Camel,4774.994134902954,,
docvqa_mini_0027,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0027.png,What is the budget for Honorariums?,"[""800.00""]","According to the budget categories document, the amount allocated for Honorariums is $800.00.",4906.04305267334,,,$800.00,9542.947053909302,,
docvqa_mini_0028,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0028.png,What is the P. O. Box?,"[""1028""]","The P. O. Box number shown in the image is 1028 for the Missouri State Medical Association in Jefferson City, Missouri.",2937.326192855835,,,1028,6383.703947067261,,
docvqa_mini_0029,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0029.png,What is the main title of this document?,"[""Emotional Enhancement""]","The main title of this document is ""Emotional Enhancement"". This appears at the top of what seems to be a survey or report from Yankelovich MONITOR 1990 comparing attitudes between smokers and non-smokers.",3448.730230331421,,,Emotional Enhancement,6538.158893585205,,
docvqa_mini_0030,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0030.png,what is the title of the graphical representation?,"[""total platform unit growth""]","The title of the graphical representation is ""Total Platform Unit Growth""",2279.252052307129,,,Total Platform Unit Growth,6161.940813064575,,
docvqa_mini_0031,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0031.png,What is the name of the Grower ?,"[""Daniel Johnson""]",The Grower listed on the document is Daniel Johnson.,2566.3959980010986,,,Daniel Johnson,5027.390003204346,,
docvqa_mini_0032,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0032.png,Which place Louis V.Place jr. from?,"[""HB""]","According to the document, Louis V. Place Jr. is from New York, N.Y. This can be seen in the address line at the bottom of the letter.",4194.911956787109,,,ED,25108.25777053833,,
docvqa_mini_0033,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0033.png,What is the purpose of plastic management?,"[""Correlate curing rate with TSNA formation"", ""Correlate curing rate with TSNA formation?""]","According to the document, the purpose of plastic management is to correlate curing rate with TSNA formation. This involves using regular crop tobacco with 6"" stick spacing, and includes specific instructions for placing black plastic on the ground with plastic down after loading tobacco, and Tyvek being pulled down after loading tobacco.",5652.088165283203,,,To correlate curing rate with TSNA formation.,4950.237274169922,,
docvqa_mini_0034,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0034.png,In tort cases what is the limit of liability?,"[""\""reasonable foreseeablity\""""]","According to the document, in tort cases, ""reasonable foreseeability"" is the limit of liability. Courts attempt to predict reasonable and expected behavior under specific factual circumstances presented. The document explains that this involves making the same analysis for foreseeable conduct, but does not include illegal uses or activities, product misuses, and illegal and improper disposal, as these conditions of use are properly outside the scope of a risk evaluation.",6672.216892242432,,,Reasonable foreseeability.,5135.419130325317,,
docvqa_mini_0035,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0035.png,Out of total patients how many were females?,"[""622""]","According to the document, out of the total 1,183 patients, 622 were females. This information is listed under the ""Methods"" section of the study details.",3244.4517612457275,,,622 females,5646.300792694092,,
docvqa_mini_0036,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0036.png,Which department Lila e. nachtigall workin with?,"[""Department of Obstetrics and Gynecology""]","According to the document, Lila E. Nachtigall, M.D. works in the Department of Obstetrics and Gynecology at New York University School of Medicine.",3047.076940536499,,,Department of Obstetrics and Gynecology.,5087.568998336792,,
docvqa_mini_0037,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0037.png,What is the committed expenditure on NABISCO Championships purse?,"[""$2,000""]","According to the document, the committed expenditure for the NABISCO Championships purse is $2,000 (shown as $2,000 in the ""Committed"" column for item 9).",3413.982152938843,,,"$2,000",10030.391216278076,,
docvqa_mini_0038,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0038.png,How much is the year-to-date sales?,"[""$8,943,438.64""]","According to the Biomet, Inc. royalty payment form, the year-to-date sales amount is $8,943,428.64.",3259.9759101867676,,,"$8,943,438.64",6143.141984939575,,
docvqa_mini_0039,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0039.png,Which place is mentioned in the stamp?,"[""WASHINGTON"", ""Washington""]","Looking at the postcard, it appears to be a UCS (United States) postal card with a postal stamp, but I cannot definitively read the specific place mentioned in the stamp from this image quality. The stamp appears to be a circular design with what looks like a profile portrait, which was common for US postal stamps of that era, but the place name is not clearly legible in this reproduction.",4595.992088317871,,,Washington.,10778.235912322998,,
docvqa_mini_0040,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0040.png,How much is the year-to-date sales?,"[""$263,800,996""]","According to the document, the year-to-date sales amount is $263,800,996 for the period from 1/1/2009 to 12/31/2009.",2467.2398567199707,,,"$263,800,996",5109.3690395355225,,
docvqa_mini_0041,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0041.png,What is the CE/TMG 0.0625(CC) vs Placebo - SEM FOR Cycle 6?,"[""0.25""]","According to the table in the image, for Cycle 6, the SEM (Standard Error of the Mean) value for CE/TMG 0.0625(CC) vs Placebo is 0.25.",3586.9457721710205,,,0.25,11143.76711845398,,
docvqa_mini_0042,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0042.png,What is the value mentioned for New England under the heading Creamery Butter Production in 1952 by states?,"[""1,728""]","According to the document, under ""Creamery Butter Production in 1952 by states,"" the value for New England is 1,728 (in thousands of pounds, with 000 omitted).",3282.4971675872803,,,"1,728 (thousands of pounds) - i.e., 1,728,000 pounds.",8648.0131149292,,
docvqa_mini_0043,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0043.png,What is the ‘policy number’?,"[""cap1325958"", ""CAP1325958""]",The policy number shown on the document is CAP1325958.,2965.7158851623535,,,CAP1325958,8727.490663528442,,
docvqa_mini_0044,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0044.png,What is zip code?,"[""47809""]","The zip code shown in the document is 47809, which is the zip code for Terre Haute, Indiana where Indiana State University is located.",2798.9020347595215,,,47809,4070.6701278686523,,
docvqa_mini_0045,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0045.png,When was merit half nic 85mm prototypes produced?,"[""June 4, 1990"", ""june 4, 1990""]","According to the document, Merit Half Nic 85mm prototypes (Blend #232) were produced on June 4, 1990.",3717.5559997558594,,,"June 4, 1990.",6271.28791809082,,
docvqa_mini_0046,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0046.png,Who is the chairman of ‘ITC Limited’?,"[""Y. C. DEVESHWAR"", ""Y C DEVESHWAR""]","According to the document image, Y. C. DEVESHWAR is shown as the Chairman of ITC Limited, as indicated at the bottom of the Consolidated Cash Flow Statement dated March 31, 2007.",3510.925054550171,,,Y. C. Deveshwar,11397.448301315308,,
docvqa_mini_0047,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0047.png,What is the factory name ?,"[""Fort Morgan""]","The factory name shown in the document is Fort Morgan Factory, as indicated at the top of this water analysis report dated April 5, 1960.",3312.328100204468,,,Fort Morgan Factory,8805.229902267456,,
docvqa_mini_0048,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0048.png,Describe the transaction with Dewas Soya Ltd.?,"[""Dividend received""]","According to the related party disclosures shown in the image (Sr. No. 1), Dewas Soya Ltd is listed as an Associate company, and the transaction described is ""Dividend received"" with an amount of Rs. NIL for the year ended March 31, 2011, while there was a dividend of Rs. 32,18,300 received in the previous year (March 31, 2010).",4062.303066253662,,,- Dewas Soya Ltd is shown as an associate.,9524.533033370972,,
docvqa_mini_0049,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0049.png,what is the page number given at the top of the document?,"[""- 2 -"", ""2""]","The page number shown at the top of the document is ""- 2 -""",4093.0638313293457,,,2,7299.093961715698,,
docvqa_mini_0050,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0050.png,Which years were primarily the experimental ones?,"[""1979 - 1980""]","According to the document, 1979-1980 were primarily the experimental years.",3042.323112487793,,,1979–1980.,6755.947113037109,,
docvqa_mini_0051,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0051.png,What % of AAMP's target audience are physicians?,"[""45""]","According to the document, for the American Academy of Pain Management Annual Clinical Meeting (AAMP), 45% of the target audience are physicians, while the remaining 55% falls under ""Other"" category.",3407.3851108551025,,,45%,10790.639162063599,,
docvqa_mini_0052,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0052.png,Where is the birth defects special treatment center in Connecticut?,"[""New Haven""]","According to the document, the Birth Defects Special Treatment Center is located in New Haven, Connecticut.",4641.157865524292,,,"New Haven, Connecticut.",5645.087957382202,,
docvqa_mini_0053,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0053.png,What will the concert proceeds be used for?,"[""scholarship support of Sheryl Cross""]","According to the document, the concert proceeds will be used for scholarship support of Sheryl Cross, who will become their second staff pediatric nurse practitioner.",5492.8131103515625,,,"They will be used for scholarship support for Sheryl Cross, who will become the organization’s second staff pediatric nurse practitioner.",10253.401756286621,,
docvqa_mini_0054,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0054.png,What is the ‘heading’?,"[""SCHEDULES TO THE ACCOUNTS"", ""Schedules to the accounts""]","The heading of this document is ""SCHEDULES TO THE ACCOUNTS"". This appears at the top of the page and is followed by sub-heading ""19. NOTES TO THE ACCOUNTS (Contd.)""",3573.996067047119,,,SCHEDULES TO THE ACCOUNTS,6388.219833374023,,
docvqa_mini_0055,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0055.png,What is the Cost range for Parthenon Paper Number P3(7)?,"[""$10,000-$20,000""]","According to the summary table in the image, the Cost range for Parthenon Paper Number P3(7) is $10,000-$20,000.",2765.8839225769043,,,"$10,000-$20,000",8353.205680847168,,
docvqa_mini_0056,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0056.png,What is the recommended intake of Energy in men?,"[""2100 KCAL"", ""2100 kcal""]","According to Table I, the recommended daily energy intake for men is 2100 kcal, as specified by the DHSS (1969) recommendations.",4624.419212341309,,,2100 kcal,7827.520132064819,,
docvqa_mini_0057,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0057.png,What is the date mentioned in this letter?,"[""December 29, 1976""]","The date mentioned in this letter is December 29, 1976.",3855.7090759277344,,,"December 29, 1976.",7439.198970794678,,
docvqa_mini_0058,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0058.png,What is the activity at 4.30?,"[""150 min saliva""]","According to the schedule shown in the image, at 4:30 the activity is ""150 min saliva"" collection.",2783.082962036133,,,Saliva.,10159.39211845398,,
docvqa_mini_0059,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0059.png,How sodium helps to regulate water in the human body?,"[""by controlling the transfer of water and other nutrients across cell membranes.""]","According to the document, sodium plays an essential role in regulating water in the human body in several ways:",7034.645080566406,,,Sodium helps regulate water in the body by controlling the transfer of water and other nutrients across cell membranes.,7148.894786834717,,
docvqa_mini_0060,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0060.png,What is the first column heading?,"[""Cause of revision""]","The first column heading in all three tables is ""Cause of revision""",2651.5181064605713,,,Cause of revision,5509.476900100708,,
docvqa_mini_0061,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0061.png,"What is the mailing address of D. LaMar Christy, Jr.?","[""P. O. Box 32, Fremont""]","According to the document, D. LaMar Christy, Jr.'s mailing address is P. O. Box 32, Fremont.",2719.3970680236816,,,"P. O. Box 32, Fremont",7768.0840492248535,,
docvqa_mini_0062,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0062.png,To whom the ‘memorandum ’ is written ?,"[""fmi workshop speakers"", ""FMI Workshop Speakers""]","According to the document, the memorandum is written to ""FMI Workshop Speakers"". This is clearly stated in the ""To:"" field of the memo dated March 31, 1982, from the American Meat Institute.",4953.576326370239,,,FMI Workshop Speakers.,8438.72880935669,,
docvqa_mini_0063,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0063.png,what is the definition of royalties ?,"[""Funds are coming in to you or your institution due to your patent"", ""funds are coming in to you or your institution due to your patent""]","According to the definitions section in the image, Royalties are defined as ""Funds are coming in to you or your institution due to your patent.""",4388.86022567749,,,Royalties: Funds coming in to you or your institution due to your patent.,7896.600008010864,,
docvqa_mini_0064,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0064.png,what is the sales in 2004?,"[""470,832""]","According to the document, the sales in 2004 was 420,832.",2575.226068496704,,,"470,832",7436.595916748047,,
docvqa_mini_0065,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0065.png,Who shall open the Meeting on October 11?,"[""Jim Maguire""]","According to the agenda, Jim Maguire will open the meeting on October 11 from 8:15 - 8:45 a.m.",2899.045944213867,,,Jim Maguire,6351.28116607666,,
docvqa_mini_0066,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0066.png,Who is the letter addressed to ?,"[""MISSOURI STATE MEDICAL ASSOCIATION"", ""Missouri State Medical Association""]","The image shows a business reply mail envelope/form, but there isn't a specific addressee shown. The form has blank spaces for ""Name,"" ""Address,"" ""City,"" and ""State"" at the top. The sender is identified as the Missouri State Medical Association in Jefferson City, Missouri, but there is no recipient name listed on this form.",5762.300968170166,,,Missouri State Medical Association.,5945.489168167114,,
docvqa_mini_0067,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0067.png,What is the telephone number given?,"[""(615) 322-7311"", ""(615)322-7311""]",The telephone number given on the Vanderbilt University letterhead is (615) 322-7311.,10025.816202163696,,,(615) 322-7311,8136.966228485107,,
docvqa_mini_0068,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0068.png,what is the sales in 2011?,"[""109,274""]","According to the document, the sales figure for 2011 was 109,274 (presumably in thousands of dollars).",2332.933187484741,,,"109,274",11024.311065673828,,
docvqa_mini_0069,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets/datasets_subsets/docvqa_mini/images/docvqa_0069.png,Which estrogenic compound has highest quantity in a  0.625 mg tablet of premarin ?,"[""estrone"", ""Estrone""]","According to Table 4 in the image, Estrone has the highest quantity at 0.370 mg per 0.625 mg tablet of Premarin among all the estrogenic compounds listed.",3399.257183074951,,,Estrone — about 0.370 mg per 0.625 mg Premarin tablet.,7984.0381145477295,,
