sample_id,image_path,ground_truth,language,dataset,prediction_azure_intelligence,inference_time_ms_azure_intelligence,tokens_used_azure_intelligence,error_azure_intelligence,prediction_donut,inference_time_ms_donut,tokens_used_donut,error_donut,prediction_mistral_document_ai,inference_time_ms_mistral_document_ai,tokens_used_mistral_document_ai,error_mistral_document_ai
icdar_tr_img_00170,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00170.jpg,"###
ابن
بضائع
نقل
29
267
103
###
/
###","Latin, Symbols, Arabic",ICDAR_mini,"أبن ـ
نقل بضائع
29 267 103
20 396 230 / 28 326 207",2922.8780269622803,,,<s_menu><s_nm> 29 267 103</s_nm></s_total>,486.50598526000977,,,"![img-0.jpeg](img-0.jpeg)

نقل بضائع
29 267 103
20 396 206 / 20 396 207",2263.1969451904297,,
icdar_tr_img_00194,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00194.jpg,"النسوة
نون
مكتبة
فقط
للنساء
نون
النسوة
مكتبة
مدخل
هنا
من
أول
مكتبة
نسائية
بالمملكة
المكتبة
###
هنا
مدخل
من
المكتبة
١٧٣٢١٥٥٠٠
٠٥٦٩٦٣٨٨٨
قرطاسية
تحضيرات
جاهزة
هدايا
ملف
إنجاز
###
خدمات
طالب
ملف
الأسبوع
التمهيدي",Arabic,ICDAR_mini,"مكتبة نون النسوة
للنساء فقط
من هنا مدخل
المكتبة
اقلـ
M
مكتبة نون النسوة
أول مكتبة نسائية بالمملكة
من هنا مدخل المكتبة
١٧٣٢١٥٥٠٠
٠٥٦٩٦٣٨٨٨٠
قرطاسية
تحضيرات جاهزة
هدايا
ملف إنجاز
المعلمة والطالبة
خدمات طالب
ملف
الأسبوع التمهيدي",6141.169786453247,,,<s_menu><s_nm> oomiujoijoijoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoidoido,10678.886890411377,,,"# مكتبـة نوين النسيـجة

## أول مكتبة نسائية بالمملكة

### من هنا مدخل المكتبة

**07977AAA**

**1777100**

**المركز**

**مكتبة طنطا**

**مكتبة طنطا**

**الطبعة الأولى**

**1997**

**الطبعة الأولى**

**1997**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**

**مكتبة طنطا**",2595.729112625122,,
icdar_tr_img_00198,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00198.jpg,"حُكومَةُ
دُبَيّ
AL
BARSHA
###
POLICE
###
###
STATION
البرشاء
شرطة
مركز","Arabic, Latin",ICDAR_mini,"AL BARSHA POLICE STATION
مركز شرطة البرشاء",2467.616081237793,,,<s_menu><s_nm> BARSHA POLICE STATION</s_changeprice></s_total>,515.613317489624,,,"^{}[] W

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1

^{}[] 1",1409.0838432312012,,
icdar_tr_img_00214,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00214.jpg,"أمواج
جزر
Islands
Amwaj
عراد
الحد
-
Hidd
Arad
-","Symbols, Arabic, Latin",ICDAR_mini,"جزر أمواج
Amwaj Islands
عراد - الحد
Arad - Hidd",2448.568105697632,,,<s_menu><s_nm> Islands</s_nm></s_total>,478.32703590393066,,,"# جزر أمواج
## Amwaj Islands

![img-0.jpeg](img-0.jpeg)

![img-1.jpeg](img-1.jpeg)",1163.6850833892822,,
icdar_tr_img_00218,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00218.jpg,"للمسلمين
مكة
فقط
المكرمة
Only
Makkah
Muslims
###
LES
ENFANTS
DU","Arabic, Latin",ICDAR_mini,"للمسلمين فقط
Muslims Only
مكة المكرمة
Makkah
LES ENFANTS DU GFIL",2467.6289558410645,,,<s_menu><s_nm> Muslims Only Makkah</s_total>,493.5648441314697,,,"![img-0.jpeg](img-0.jpeg)

^{}[] LES ENFANTS DU BRIO",994.0688610076904,,
icdar_tr_img_00222,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00222.jpg,"الأمان
بنك
BANK
AMEN
توقيت
شبابيك
فتح
للعموم
من
الإثنين
إلى
الجمعة
حصة
عادية
من
غرة
30
سبتمبر
إلى
جوان
ما
رمضان
عدي
16H00
:
08H00
-
غرة
حصة
غرة
جويلية
إلى
رمضان
واحدة
من
12H30
07H15:
-
رمضان
08H30:
12H45
-
توقيت
صيفي
12H30
07H15
-
أسبوعية
الأحد
راحة
السبت
و
:
Horaire
d'ouverture
des
guichets
le
public
pour
De
Lundi
vendredi
au
Séance
normale
###
du
septembre
juin
30
au
(Sauf
ramadan)
:08H00
16H00
-
Séance
du
unique
###
Juillet
début
au
mois
du
de
Ramadan
:
07H15
12H30
-
Ramadan
08H30
12H45
:
-
Séance
aprés
unique
le
de
mois
Ramadan
07H15
12H30
:
-
Samedi
Dimanche
&
Chômés
:","Symbols, Arabic, Latin",ICDAR_mini,"بنك الأمان
AMEN BANK
توقيت فتح شبابيك للعموم
من الإثنين إلى الجمعة
حصة عادية من غرة سبتمبر إلى 30 جوان
16H00 - 08H00 :
ما عدي رمضان
حصة واحدة من غرة جويلية إلى غرة رمضان
12H30 - 07H15 :
12H45 - 08H30 :
رمضان
12H30 - 07H15 :
توقيت صيفي
السبت والأحد : راحة أسبوعية
Horaire d'ouverture des guichets
pour le public
De Lundi au vendredi
Séance normale du 1"" septembre au 30 juin
(Sauf ramadan)
: 08H00 - 16H00
Séance unique du 1"" Juillet au début
du mois de Ramadan
: 07H15 - 12H30
Ramadan
: 08H30 - 12H45
Séance unique aprés le mois de Ramadan
: 07H15 - 12H30
Samedi & Dimanche : Chômés",2544.8319911956787,,,<s_menu><s_nm> AMEN BANK</s_nm><s_unitprice> 30禁止婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女婦女,7441.431045532227,,,"# 20

## بَنِتْ الْأَْسَان
### AMEN BANK

توقيت فتح شبابيك للعموم

من الاثنين إلى الجمعة
حصة عادية من غرة سيتممر إلى 30 جوان
ما عَدل رمضان: 16H00-08H00
حصة واحدة من غرة جويلية إلى غرة رمضان
12H30-07H15
رمضــــان: 12H45-08H30
توقيت سيفي: 12H30-07H15
السبت والأحد: راحة أسبوعية

Horaire d'ouverture des guichets
pour le public
De Lundi au vendredi
Séance normale de 1er septembre au 20 juin
(Sauf ramadas): 08H00-16H00
Séance unique du 1er Juillet au début
du mois de Ramadan
12H15-12H30
Ramadan: 08H30-12H40
Séance unique après le mois de Ramadan
Somadi & Dimanche: Chômés

![img-0.jpeg](img-0.jpeg)",2091.3589000701904,,
icdar_tr_img_00237,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00237.jpg,"ابن
زهر",Arabic,ICDAR_mini,"بن
i",2492.478132247925,,,<s_menu><s_nm>,443.16792488098145,,,"<table><tr><td colspan=""3"">![img-0.jpeg](img-0.jpeg)</td></tr></table>",1589.9097919464111,,
icdar_tr_img_00248,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00248.jpg,"٥٤١٨
علي
حسن
/
علي
الدكتور
محمد
ssan
الدكتور
/
ايبري
واركو
محمد
###","Latin, Symbols, Arabic",ICDAR_mini,"٥٤١٨
الدكتور / محمد علي علي حسن
issan
الدكتور / محمد ايبري واركو
rku",2609.7640991210938,,,<s_menu><s_nm> sson</s_nm><s_num> SUSHI [source]<s_void_menu><s_nm> ku</s_total>,573.4260082244873,,,"# 051A 

![img-0.jpeg](img-0.jpeg)

## الدكتور / محمد علي علي حسن

## nissan

الدكتور / محمد ايبري واركو

## 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.",2522.6008892059326,,
icdar_tr_img_00259,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00259.jpg,"مركز
تصفية
الدم
تاركَة
TARGA
DIALYSE
DE
CENTRE
###
###
###
###","Arabic, None, Latin",ICDAR_mini,"مركز تصفية الدم تاركة CENTRE DE DIALYSE TARGA CO
24/24",2473.520040512085,,,<s_menu><s_nm> CERTREDEDIALYSE TARGA,500.5531311035156,,,"# 1999

![img-0.jpeg](img-0.jpeg)

بكر تصفية الدم تاركة
CENTRE DE DIALYSE TARGA",1228.9657592773438,,
icdar_tr_img_00260,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00260.jpg,"التقليدية
المهني
حرف
الصناعة
التكوين
في
مركز",Arabic,ICDAR_mini,مركز التكوين المهر فى حرف الصناعة التقليدية,2590.1262760162354,,,<s_menu><s_nm>,457.6590061187744,,,"<table><tr><td colspan=""2"">![img-0.jpeg](img-0.jpeg)</td></tr></table>",845.5638885498047,,
icdar_tr_img_00269,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00269.jpg,"الرفع
قبل
الدفع
###
###",Arabic,ICDAR_mini,الدفع قبل الرفع,2457.310914993286,,,<s_menu><s_nm>,441.3797855377197,,,الصفح قبل المرجح,1617.1960830688477,,
icdar_tr_img_00277,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00277.jpg,"السنبلة
الذهبية
D'OR
L'EPI
منذ
1943
DEPUIS
3
M'hammes
DUR
BLE
SEMOLINA
DE
SEMOULE
WHEAT
PURE
DURUM
PURE","Arabic, Latin",ICDAR_mini,"السنبلة الذهبية
L'EPI D'OR
DEPUIS 19 43 510
DThammes 3
PURE SEMOULE DE BLE DUR
PURE DURUM WHEAT SEMOLINA",2598.5360145568848,,,<s_menu><s_nm> PURE SEMOULEDE DURUM MEDI,629.3220520019531,,,"# ![img-0.jpeg](img-0.jpeg) 

DEPUIS 194320
![img-1.jpeg](img-1.jpeg)

PURE SEMOULE DE BLE DUR PURE DURUM WHEAT SEMOLINA",2711.0440731048584,,
icdar_tr_img_00278,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00278.jpg,"###
ومستودع
الغذائية
الحكمي
للمواد
هاتف
3190552
###
###
###","Latin, Arabic",ICDAR_mini,"كت ومستودع الحكمي للمواد الغذائية
3190552
هاتف
قطاعي
٥",2613.919973373413,,,<s_menu><s_nm> Gouuu 3190552</s_total_price></s_total>,594.8319435119629,,,# ![img-0.jpeg](img-0.jpeg),2280.8191776275635,,
icdar_tr_img_00285,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00285.jpg,"خالفة
وادي
بو
OUED
BOUKHALFA","Latin, Arabic",ICDAR_mini,"وادي بوخالفة
QUED BOUKHALFA",2492.419719696045,,,<s_menu><s_nm> OUED BOUKHALFA</s_changeprice></s_total>,516.5278911590576,,,"![img-0.jpeg](img-0.jpeg)

^{}[] وادي بو خالفة
^{}[] CUEO BOUKHALES",1547.389030456543,,
