sample_id,image_path,ground_truth,language,dataset,prediction_gpt-5-mini,inference_time_ms_gpt-5-mini,tokens_used_gpt-5-mini,error_gpt-5-mini,prediction_gpt-5-nano,inference_time_ms_gpt-5-nano,tokens_used_gpt-5-nano,error_gpt-5-nano
icdar_tr_img_00194,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00194.jpg,"النسوة
نون
مكتبة
فقط
للنساء
نون
النسوة
مكتبة
مدخل
هنا
من
أول
مكتبة
نسائية
بالمملكة
المكتبة
###
هنا
مدخل
من
المكتبة
١٧٣٢١٥٥٠٠
٠٥٦٩٦٣٨٨٨
قرطاسية
تحضيرات
جاهزة
هدايا
ملف
إنجاز
###
خدمات
طالب
ملف
الأسبوع
التمهيدي",Arabic,ICDAR_mini,"مكتبة نون النسوة
للنساء فقط

(على اللوحة الصغيرة جانب الباب)
من هنا مدخل المكتبة  ←

(على باب المحل، اللوحة الكبيرة)
مكتبة نون النسوة
أول مكتبة نسائية بالمملكة
من هنا مدخل المكتبة

(أرقام هاتف ظاهرة — قراءتي قد تكون تقريبية)
0599638888
0173321500

(أزرار/مربعات نصية في أسفل اللوحة — بعضها غير واضح تماماً)
قرطاسية
تحضيرات جاهزة
هدايا
خدمات طالب
ملف الأسبوع التحضيري (غير واضح تماماً)
(هناك أزرار/نصوص أصغر أخرى غير قابلة للقراءة بدقة من الصورة)

(كتابات عشوائية/غرافيتي على الجدار غير مقروءة بوضوح)",15440.829038619995,,,,14439.733028411865,,
icdar_tr_img_00198,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00198.jpg,"حُكومَةُ
دُبَيّ
AL
BARSHA
###
POLICE
###
###
STATION
البرشاء
شرطة
مركز","Arabic, Latin",ICDAR_mini,"Here is the text visible in the image (exact transcriptions where clear; uncertain/partially visible items shown in brackets):

- AL BARSHA POLICE STATION
- مركز شرطة البرشاء
- GOVERNMENT OF DUBAI
- [حكومة دبي] (stylized Arabic near the top-left logo — partially stylized)
- [شرطة دبي] (Arabic text inside the red emblem at top-right — partially visible)

If you’d like, I can provide OCR-only plain text output or isolate just the Arabic or just the English lines.",9930.558919906616,,,"- GOVERNMENT OF DUBAI
- AL BARSHA POLICE STATION
- مركز شرطة البرشاء",9435.27603149414,,
icdar_tr_img_00214,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00214.jpg,"أمواج
جزر
Islands
Amwaj
عراد
الحد
-
Hidd
Arad
-","Symbols, Arabic, Latin",ICDAR_mini,"جزر أمواج
Amwaj Islands
عراد - الحد
Arad - Hidd",6041.222095489502,,,"- جزيرة أمواج
- Amwaj Islands
- عراد - الحد
- Arad - Hidd",9944.133996963501,,
icdar_tr_img_00218,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00218.jpg,"للمسلمين
مكة
فقط
المكرمة
Only
Makkah
Muslims
###
LES
ENFANTS
DU","Arabic, Latin",ICDAR_mini,"- للمسلمين فقط
- Muslims Only
- مكة المكرمة
- Makkah
- (three downward arrows)
- LES ENFANTS DU GIFIC  (bottom-right text; transcription of this line is a best guess due to partial obstruction)",8796.913146972656,,,"- للمسلمين فقط
- Muslims Only
- مكة المكرمة
- Makkah
- LES ENFANTS DU G...",9273.920774459839,,
icdar_tr_img_00222,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00222.jpg,"الأمان
بنك
BANK
AMEN
توقيت
شبابيك
فتح
للعموم
من
الإثنين
إلى
الجمعة
حصة
عادية
من
غرة
30
سبتمبر
إلى
جوان
ما
رمضان
عدي
16H00
:
08H00
-
غرة
حصة
غرة
جويلية
إلى
رمضان
واحدة
من
12H30
07H15:
-
رمضان
08H30:
12H45
-
توقيت
صيفي
12H30
07H15
-
أسبوعية
الأحد
راحة
السبت
و
:
Horaire
d'ouverture
des
guichets
le
public
pour
De
Lundi
vendredi
au
Séance
normale
###
du
septembre
juin
30
au
(Sauf
ramadan)
:08H00
16H00
-
Séance
du
unique
###
Juillet
début
au
mois
du
de
Ramadan
:
07H15
12H30
-
Ramadan
08H30
12H45
:
-
Séance
aprés
unique
le
de
mois
Ramadan
07H15
12H30
:
-
Samedi
Dimanche
&
Chômés
:","Symbols, Arabic, Latin",ICDAR_mini,"بنك الأمان
AMEN BANK

توقيت فتح شبابيك للعموم

من الإثنين إلى الجمعة
حصة عادية من غرة سبتمبر إلى 30 جوان
ما عدى رمضان : 08H00 - 16H00
حصة واحدة من غرة جويلية إلى غرة رمضان
07H15 - 12H30
رمضان : 08H30 - 12H45
توقيت صيفي : 07H15 - 12H30
السبت والأحد : راحة أسبوعية

Horaire d'ouverture des guichets
pour le public

De Lundi au vendredi
Séance normale du 1er septembre au 30 juin
(Sauf ramadan) : 08H00 - 16H00

Séance unique du 1er Juillet au début
du mois de Ramadan : 07H15 - 12H30

Ramadan : 08H30 - 12H45

Séance unique après le mois de Ramadan :
07H15 - 12H30

Samedi & Dimanche : Chômés",14428.319931030273,,,,14457.235097885132,,
icdar_tr_img_00237,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00237.jpg,"ابن
زهر",Arabic,ICDAR_mini,"بن نمر
(Bin Nimr)",9946.18272781372,,,بيروت,8895.6139087677,,
icdar_tr_img_00248,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00248.jpg,"٥٤١٨
علي
حسن
/
علي
الدكتور
محمد
ssan
الدكتور
/
ايبري
واركو
محمد
###","Latin, Symbols, Arabic",ICDAR_mini,"٠٤١٨

الدكتور/ محمد علي حسن

assan

الدكتور/ محمد ايبري واركو

rku",13318.575143814087,,,,14792.474746704102,,
icdar_tr_img_00259,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00259.jpg,"مركز
تصفية
الدم
تاركَة
TARGA
DIALYSE
DE
CENTRE
###
###
###
###","Arabic, None, Latin",ICDAR_mini,"Detected text (legible):

- CENTRE DE DIALYSE TARGA
- مركز تصفية الدم تارقة
- 24/24 (on the ambulance)

Other small text on the ambulance and license plate is not clearly readable in this image.",8708.162069320679,,,"Here is the visible text I can extract from the image:

- CENTRE DE DIALYSE TARGA
- مركز تصفية الدم تَارغا
- CENTRE DE DIALYSE (on the ambulance)
- TARGA (on the ambulance)

Note: The Arabic line is the transliteration of the French name on the sign. The ambulance text repeats the sign in smaller letters.",10940.987825393677,,
icdar_tr_img_00260,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00260.jpg,"التقليدية
المهني
حرف
الصناعة
التكوين
في
مركز",Arabic,ICDAR_mini,"مركز التكوين المهني في حرف الصناعة التقليدية

Transliteration: Markaz at-Takwīn al-Mihnī fī Ḥiraf al-Ṣināʿa al-Taqalidiyya

English translation: Vocational Training Center for Traditional Handicrafts",7677.589893341064,,,مركز التكوين المهني في الصناعات التقليدية,10930.606126785278,,
icdar_tr_img_00269,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00269.jpg,"الرفع
قبل
الدفع
###
###",Arabic,ICDAR_mini,الدفع قبل الرفع,7881.9990158081055,,,,14517.168998718262,,
icdar_tr_img_00277,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00277.jpg,"السنبلة
الذهبية
D'OR
L'EPI
منذ
1943
DEPUIS
3
M'hammes
DUR
BLE
SEMOLINA
DE
SEMOULE
WHEAT
PURE
DURUM
PURE","Arabic, Latin",ICDAR_mini,"Extracted text (as visible in the image):

- السنـبلة الذهبية
- L'EPI D'OR
- DEPUIS 1943 (منذ 1943)
- M'hammes 3
- PURE SEMOULE DE BLE DUR
- PURE DURUM WHEAT SEMOLINA

Notes: there is additional small/partially visible text near the bottom and on the edge of the pack that is not legible in the photo.",16178.526878356934,,,"- السنبلة الذهبية
- L'EPI D'OR
- DEPUIS 1943
- Depuis 1943
- Mihamines 3
- PURE SEMOULE DE BLE DUR
- PURE DURUM WHEAT SEMOLINA",13868.141174316406,,
icdar_tr_img_00278,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00278.jpg,"###
ومستودع
الغذائية
الحكمي
للمواد
هاتف
3190552
###
###
###","Latin, Arabic",ICDAR_mini,"مكتب ومستودع الحكمي للمواد الغذائية
هاتف 3190552

(بعض النصوص الصغيرة على الجدران والملصقات غير مقروءة بوضوح)",16280.945777893066,,,"مستودع الحكمي للمواد الغذائية
هاتف 3190552",22065.05298614502,,
icdar_tr_img_00285,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00285.jpg,"خالفة
وادي
بو
OUED
BOUKHALFA","Latin, Arabic",ICDAR_mini,"وادي بوخلفة
OUED BOUKHALFA

(No other readable text appears in the image.)",11983.179092407227,,,"- OUED BOUKHALIFA
- وادي بوخليفة",11257.081985473633,,
icdar_tr_img_00293,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00293.jpg,"جندوبة
JENDOUBA
باجة
BEJA
طبرقة
TABARKA
دراهم
عين
AiN
DRAHAM
###
###
###
###","Arabic, None, Latin",ICDAR_mini,"جندوبة
JENDOUBA

باجة
BEJA

عين دراهم
AIN DRAHAM

طبرقة
TABARKA",8396.566152572632,,,,12592.944145202637,,
icdar_tr_img_00298,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00298.jpg,"المسارحة
احد
صامطة
الطوال
###
###
###
###
###
###
###
###
الشبيكة
###
###
٥٠٠
م
500
M","Latin, Arabic",ICDAR_mini,"أحد المسارحة
صامطة
الطويل
اليمن
الشريقة
٥٠٠ م

AHAD AL MASARRAHA
SAMTHA
AL TUWAL
YEMEN
AL SHERIKAH
500 M",13824.537754058838,,,,15240.124940872192,,
icdar_tr_img_00310,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00310.jpg,"خياط
امواج
الأقمشة
الرجالية
للخياطة
8939629
٠٥٥٠٣٢١٢٦٩","Latin, Arabic",ICDAR_mini,"خياط
امواج
الأقمشة
للخياطة الرجالية
٠٥٥٣٣٢٦٣٩

Transliteration:
- Khayyat
- Amwaj
- Al-Aqmisha
- Lil-khayata al-rijaliyya
- 055332639

Translation:
- Tailor
- Amwaj (name)
- Fabrics
- For men's tailoring
- (phone) 055332639

Note: the phone number digits on the sign are partially obscured; the transcription above is from what is visible.",15053.035020828247,,,,15459.455966949463,,
icdar_tr_img_00334,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00334.jpg,"ى
مغاسل
الأفق
###
LAUNDRY
###
ALـOFOQ
خدمة
###
سريعة
Service
OFOQ
Express","Arabic, Latin",ICDAR_mini,"مغاسل الافق
AL-OFOQ LAUNDRY
OFOQ
Express Service
خدمة سريعة",7578.258037567139,,,,15220.911979675293,,
icdar_tr_img_00383,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00383.jpg,"###
20
###
###
###
السعر
20
6
هبه
HEBA
إطفاء
حريق
صندوق
FIRE
HOSE
CABINET","Arabic, None, Latin",ICDAR_mini,"6

هبة
HEBA

صندوق إطفاء حريق
FIRE HOSE CABINET

20",12898.3895778656,,,"- 20
- 6
- HEBA
- صندوق إطفاء حريق
- FIRE HOSE CABINET",15548.770189285278,,
icdar_tr_img_00384,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00384.jpg,"صيدلية
صيدلية
###
شقرون","Latin, Arabic",ICDAR_mini,"- Top small horizontal sign (upper right): صيدلية
- Vertical green sign with mortar & pestle (center right): صيدلية
- Large red storefront text (center): شروق+
- Apple logo (below the large red text)",11162.69588470459,,,,14059.190034866333,,
icdar_tr_img_00395,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00395.jpg,"نهج
الاندلس
RUE
ANDALOUS
DES","Latin, Arabic",ICDAR_mini,"Arabic (top): زنقة الاندلس

French (middle / bottom): RUE
DES ANDALOUS

Interpreted/clean reading: ""RUE DES ANDALOUS"" (French) and ""زنقة الأندلس"" (Arabic).",8636.913061141968,,,,12036.971092224121,,
icdar_tr_img_00409,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00409.jpg,"طريق
25
شارع
الخليج
العربي
Gulf
Arabian
Street","Latin, Arabic",ICDAR_mini,"طريق
25
شارع الخليج العربي
Arabian Gulf Street",3582.608938217163,,,"طريق 25
شارع الخليج العربي
Arabian Gulf Street",6229.956865310669,,
icdar_tr_img_00456,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00456.jpg,"igh
Ama
Travel
أسفار
457
393
96
وكالة
175
224
21
VOYAGES
DE
AGENCE
داخلية
رحلات
وخارجية
###
أمازيغ
Ama
للأسفار
على
عمرة
السنة
مدار
تذاكر
###
Travel
ges
ménage","Arabic, Latin",ICDAR_mini,"Top sign:
Amazigh Travel

Purple banner (top of main sign):
96 393 457
21 224 175

White strip on main sign:
AGENCE DE VOYAGES

Small logo/box on left of main sign:
Amazigh
Travel

Arabic on the large purple sign (right side):
وكالة أسفار
أمازيغ للأسفار

Arabic lines inside the small white box (left):
رحلات داخلية وخارجية
عمرة على مدار السنة
تذاكر سفر

Other visible fragments:
…ges
ménage",12224.585056304932,,,,14641.55101776123,,
icdar_tr_img_00459,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00459.jpg,"###
###
جواجم
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
فطور
صباح
بونجورنو
ياغورت
دياري","Latin, None, Arabic",ICDAR_mini,"جواجم
فطور صباح
ياقورت دياري
بونجورنو",14900.654792785645,,,,13815.861940383911,,
icdar_tr_img_00512,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00512.jpg,"###
تازركة",Arabic,ICDAR_mini,"Extracted text (from the blue sign):

- تازركة

There is a small, very faded word above the main text that is not legible.",8242.652893066406,,,The text in the image reads: تارزكة,15598.71220588684,,
icdar_tr_img_00543,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00543.jpg,"الأساسات
قسم
لادن
بن
LADIN
BIN
PILING
٢٦٦٣٤٠٤
فاكس/
ت/
٢٦٢٦٣٤٧
١٥٥٥
ص-ب/
دبي
26266347
Dubai
Fax.
P.O.Box.
1555
Tel.
2663404","Latin, Arabic",ICDAR_mini,"بن لادن قسم الأساسات
BIN LADIN PILING
ت/ ٢٦٦٣٤٠٤ فاكس ٢٦٢٦٣٤٧ ص.ب/ ١٥٥٥ دبي
Tel. 2663404 Fax. 2626347 P.O.Box. 1555 Dubai",9270.17593383789,,,"بن لادن قسم الأساسات
BIN LADIN PILING
Tel. 2663404
Fax. 2626347
P.O.Box. 1555 Dubai",8031.485080718994,,
icdar_tr_img_00557,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00557.jpg,"الطبي
المجمع
Medical
###
City
المغناطيسي
بالرنين
التصوير
مخبر
التحاليل
الطبية
Médicales
D'analyses
Laboratoire","Latin, Arabic",ICDAR_mini,"المجمع الطبي
Medical City
التصوير بالرنين المغناطيسي
مختبر التحاليل الطبية
Laboratoire D'analyses Médicales",10022.035360336304,,,,12874.803066253662,,
icdar_tr_img_00573,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00573.jpg,"شبرا
###
مجمع
nmercial
Complex
###
###
###
###
###
###
###
###
###
###
###
###
###
###","Latin, Arabic",ICDAR_mini,"Here’s the text from the image.

Exact visible (verbatim):
- مجمع شبرا م
- mercial Complex

Likely full text (expanded/cleaned reading):
- مجمع شبرا ماركت
- Commercial Complex",12495.131254196167,,,"- Arabic: مجمع شيبرا مول
- English: Commercial Complex",11861.348867416382,,
icdar_tr_img_00591,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00591.jpg,"شحن
نقطة
ooredoo","Latin, Arabic",ICDAR_mini,"نقطة شحن
ooredoo",5530.883073806763,,,"- نقطة شحن
- Ooredoo",9869.051933288574,,
icdar_tr_img_00593,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00593.jpg,"ربط
حزام
الآمان
Seat
Wear
Belt","Latin, Arabic",ICDAR_mini,"ربط حزام
الأمان
Wear Seat
Belt",4464.998006820679,,,"Extracted text:

Arabic:
- ربط حزام
- الامان

English:
- Wear Seat Belt",7900.081157684326,,
icdar_tr_img_00620,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00620.jpg,"le
Parti
Socialiste
Unifié
Maroc
-
المغرب
الموحد
الإشتراكي
الحزب
Com
-","Symbols, Arabic, Latin",ICDAR_mini,"Parti Socialiste Unifié - Maroc

الحزب الإشتراكي الموحد - المغرب",5754.352807998657,,,"Parti Socialiste Unifié - Maroc
الحزب الإشتراكي الموحد - المغرب",8074.96976852417,,
icdar_tr_img_00638,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00638.jpg,"لجنة
زكاة
القدس
باتجاه
الصدقات
النذور
الزكوات
نستقبل
و
و
لجنة
أيتام
صدقة
كفالة
الفطر
القدس
صائم
زكاة
افطار
و
و",Arabic,ICDAR_mini,"باتجاه لجنة زكاة القدس
نستقبل الزكوات، الصدقات، النذور
افطار صائم، صدقة الفطر، كفالة ايتام",11489.161968231201,,,,11637.759923934937,,
icdar_tr_img_00661,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00661.jpg,"###
###
###
نظيف
ديما
M
Farrell
ميكانيك
###
ن
Nana
###
سيّارات
3
3
2
2
898
2
2
###
1
###
G
136
54492
54493","Arabic, Latin",ICDAR_mini,"Here is the text I can read from the image (with notes where parts are unclear):

- ميكانيك سيارات
  - Transliteration: ""Mīkānīk sayyārāt"" (meaning ""car mechanic(s)"")

- Sign above (partially visible): ""Nadin"" (Latin letters) — the small Arabic on that sign is not fully legible.

- Right-side sign (logo): ""Nano""

- Small black panel at right with white digits — numbers are partially visible but not fully legible.

- Small vertical beige plate on the wall (left of the painted sign) — text not legible.

If you want, I can crop and enhance specific areas (top sign, black panel, beige plate) to try to read the unclear text more accurately.",13715.40880203247,,,,14187.381744384766,,
icdar_tr_img_00682,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00682.jpg,"ديوان
للأسفار
Travel
Diwan","Arabic, Latin",ICDAR_mini,"ديوان
للأسفار
Diwan Travel",8565.452098846436,,,"- Diwan Travel
- ديوان للسفر",10848.987102508545,,
icdar_tr_img_00690,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00690.jpg,"الهواتف
المتميزة
ونيات
Phones
###
جوالك
###
0565229769
###
E052
084
085
٧٣٢٤","Latin, Arabic",ICDAR_mini,"Extracted text (readable):

- الهواتف المتميزة
- Special Phones
- 0565229769 (with WhatsApp icon)

Partially visible / uncertain text:
- جوالك (partial, on left blue panel)
- Yellow plate on pillar: E052 08A 085 (uncertain/partly obscured)",9024.327993392944,,,"- الهـواتف المميزة
- Special Phones
- 0565229769",10520.127058029175,,
icdar_tr_img_00695,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00695.jpg,"###
نديم
تحرّك
###
###
###
العزيز
بن
عبد
###
KING
###","Arabic, None, Latin",ICDAR_mini,"Extracted text (as best readable):

- تحرك
- نديم اللي (approximate)
- f nadeemfitness  @nadeemfitness  #nadeemfitness (approximate social handles)
- بن عبد العزيز (approximate)
- KING ABDULLAH",14325.411081314087,,,,15156.975746154785,,
