sample_id,image_path,dataset,language,ground_truth,gpt-5-mini_prediction,gpt-5-mini_prompt,gpt-5-mini_inference_time_ms,gpt-5-mini_tokens_used,gpt-5-mini_error,gpt-5-mini_timestamp,gpt-5-nano_prediction,gpt-5-nano_prompt,gpt-5-nano_inference_time_ms,gpt-5-nano_tokens_used,gpt-5-nano_error,gpt-5-nano_timestamp
icdar_tr_img_00170,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00170.jpg,ICDAR_mini,"Latin, Symbols, Arabic","###
ابن
بضائع
نقل
29
267
103
###
/
###","Extracted text (visible on the truck):

- نقل بضائع
- 29 267 103
- 20 396 260  /  20 396 207

Notes:
- There are small logos and additional tiny text on the vehicle and a rooftop sign in the photo, but they are not legible enough to transcribe reliably.",Extract all text from this document image,9724.922180175781,,,2025-12-23T22:43:06.908840,"- نقل بضائع
- 29 267 103
- 20 396 224
- 20 395 207",Extract all text from this document image,9583.043098449707,,,2025-12-23T23:33:38.672981
icdar_tr_img_00194,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00194.jpg,ICDAR_mini,Arabic,"النسوة
نون
مكتبة
فقط
للنساء
نون
النسوة
مكتبة
مدخل
هنا
من
أول
مكتبة
نسائية
بالمملكة
المكتبة
###
هنا
مدخل
من
المكتبة
١٧٣٢١٥٥٠٠
٠٥٦٩٦٣٨٨٨
قرطاسية
تحضيرات
جاهزة
هدايا
ملف
إنجاز
###
خدمات
طالب
ملف
الأسبوع
التمهيدي","مكتبة نون النسوة
للنساء فقط

(على اللوحة الصغيرة جانب الباب)
من هنا مدخل المكتبة  ←

(على باب المحل، اللوحة الكبيرة)
مكتبة نون النسوة
أول مكتبة نسائية بالمملكة
من هنا مدخل المكتبة

(أرقام هاتف ظاهرة — قراءتي قد تكون تقريبية)
0599638888
0173321500

(أزرار/مربعات نصية في أسفل اللوحة — بعضها غير واضح تماماً)
قرطاسية
تحضيرات جاهزة
هدايا
خدمات طالب
ملف الأسبوع التحضيري (غير واضح تماماً)
(هناك أزرار/نصوص أصغر أخرى غير قابلة للقراءة بدقة من الصورة)

(كتابات عشوائية/غرافيتي على الجدار غير مقروءة بوضوح)",Extract all text from this document image,15440.829038619995,,,2025-12-23T21:20:25.487636,,Extract all text from this document image,14439.733028411865,,,2025-12-23T21:59:41.915738
icdar_tr_img_00198,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00198.jpg,ICDAR_mini,"Arabic, Latin","حُكومَةُ
دُبَيّ
AL
BARSHA
###
POLICE
###
###
STATION
البرشاء
شرطة
مركز","Here is the text visible in the image (exact transcriptions where clear; uncertain/partially visible items shown in brackets):

- AL BARSHA POLICE STATION
- مركز شرطة البرشاء
- GOVERNMENT OF DUBAI
- [حكومة دبي] (stylized Arabic near the top-left logo — partially stylized)
- [شرطة دبي] (Arabic text inside the red emblem at top-right — partially visible)

If you’d like, I can provide OCR-only plain text output or isolate just the Arabic or just the English lines.",Extract all text from this document image,9930.558919906616,,,2025-12-23T21:21:17.979912,"- GOVERNMENT OF DUBAI
- AL BARSHA POLICE STATION
- مركز شرطة البرشاء",Extract all text from this document image,9435.27603149414,,,2025-12-23T22:00:48.882869
icdar_tr_img_00214,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00214.jpg,ICDAR_mini,"Symbols, Arabic, Latin","أمواج
جزر
Islands
Amwaj
عراد
الحد
-
Hidd
Arad
-","جزر أمواج
Amwaj Islands
عراد - الحد
Arad - Hidd",Extract all text from this document image,6041.222095489502,,,2025-12-23T21:21:32.726168,"- جزيرة أمواج
- Amwaj Islands
- عراد - الحد
- Arad - Hidd",Extract all text from this document image,9944.133996963501,,,2025-12-23T22:01:11.256760
icdar_tr_img_00218,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00218.jpg,ICDAR_mini,"Arabic, Latin","للمسلمين
مكة
فقط
المكرمة
Only
Makkah
Muslims
###
LES
ENFANTS
DU","- للمسلمين فقط
- Muslims Only
- مكة المكرمة
- Makkah
- (three downward arrows)
- LES ENFANTS DU GIFIC  (bottom-right text; transcription of this line is a best guess due to partial obstruction)",Extract all text from this document image,8796.913146972656,,,2025-12-23T21:23:01.712914,"- للمسلمين فقط
- Muslims Only
- مكة المكرمة
- Makkah
- LES ENFANTS DU G...",Extract all text from this document image,9273.920774459839,,,2025-12-23T22:03:01.700875
icdar_tr_img_00222,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00222.jpg,ICDAR_mini,"Symbols, Arabic, Latin","الأمان
بنك
BANK
AMEN
توقيت
شبابيك
فتح
للعموم
من
الإثنين
إلى
الجمعة
حصة
عادية
من
غرة
30
سبتمبر
إلى
جوان
ما
رمضان
عدي
16H00
:
08H00
-
غرة
حصة
غرة
جويلية
إلى
رمضان
واحدة
من
12H30
07H15:
-
رمضان
08H30:
12H45
-
توقيت
صيفي
12H30
07H15
-
أسبوعية
الأحد
راحة
السبت
و
:
Horaire
d'ouverture
des
guichets
le
public
pour
De
Lundi
vendredi
au
Séance
normale
###
du
septembre
juin
30
au
(Sauf
ramadan)
:08H00
16H00
-
Séance
du
unique
###
Juillet
début
au
mois
du
de
Ramadan
:
07H15
12H30
-
Ramadan
08H30
12H45
:
-
Séance
aprés
unique
le
de
mois
Ramadan
07H15
12H30
:
-
Samedi
Dimanche
&
Chômés
:","بنك الأمان
AMEN BANK

توقيت فتح شبابيك للعموم

من الإثنين إلى الجمعة
حصة عادية من غرة سبتمبر إلى 30 جوان
ما عدى رمضان : 08H00 - 16H00
حصة واحدة من غرة جويلية إلى غرة رمضان
07H15 - 12H30
رمضان : 08H30 - 12H45
توقيت صيفي : 07H15 - 12H30
السبت والأحد : راحة أسبوعية

Horaire d'ouverture des guichets
pour le public

De Lundi au vendredi
Séance normale du 1er septembre au 30 juin
(Sauf ramadan) : 08H00 - 16H00

Séance unique du 1er Juillet au début
du mois de Ramadan : 07H15 - 12H30

Ramadan : 08H30 - 12H45

Séance unique après le mois de Ramadan :
07H15 - 12H30

Samedi & Dimanche : Chômés",Extract all text from this document image,14428.319931030273,,,2025-12-23T21:25:27.420954,,Extract all text from this document image,14457.235097885132,,,2025-12-23T22:05:47.712498
icdar_tr_img_00237,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00237.jpg,ICDAR_mini,Arabic,"ابن
زهر","بن نمر
(Bin Nimr)",Extract all text from this document image,9946.18272781372,,,2025-12-23T21:26:37.080338,بيروت,Extract all text from this document image,8895.6139087677,,,2025-12-23T22:06:58.651370
icdar_tr_img_00248,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00248.jpg,ICDAR_mini,"Latin, Symbols, Arabic","٥٤١٨
علي
حسن
/
علي
الدكتور
محمد
ssan
الدكتور
/
ايبري
واركو
محمد
###","٠٤١٨

الدكتور/ محمد علي حسن

assan

الدكتور/ محمد ايبري واركو

rku",Extract all text from this document image,13318.575143814087,,,2025-12-23T21:22:52.915523,,Extract all text from this document image,14792.474746704102,,,2025-12-23T22:02:52.426772
icdar_tr_img_00259,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00259.jpg,ICDAR_mini,"Arabic, None, Latin","مركز
تصفية
الدم
تاركَة
TARGA
DIALYSE
DE
CENTRE
###
###
###
###","Detected text (legible):

- CENTRE DE DIALYSE TARGA
- مركز تصفية الدم تارقة
- 24/24 (on the ambulance)

Other small text on the ambulance and license plate is not clearly readable in this image.",Extract all text from this document image,8708.162069320679,,,2025-12-23T21:28:01.855557,"Here is the visible text I can extract from the image:

- CENTRE DE DIALYSE TARGA
- مركز تصفية الدم تَارغا
- CENTRE DE DIALYSE (on the ambulance)
- TARGA (on the ambulance)

Note: The Arabic line is the transliteration of the French name on the sign. The ambulance text repeats the sign in smaller letters.",Extract all text from this document image,10940.987825393677,,,2025-12-23T22:08:36.265569
icdar_tr_img_00260,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00260.jpg,ICDAR_mini,Arabic,"التقليدية
المهني
حرف
الصناعة
التكوين
في
مركز","مركز التكوين المهني في حرف الصناعة التقليدية

Transliteration: Markaz at-Takwīn al-Mihnī fī Ḥiraf al-Ṣināʿa al-Taqalidiyya

English translation: Vocational Training Center for Traditional Handicrafts",Extract all text from this document image,7677.589893341064,,,2025-12-23T21:22:19.730493,مركز التكوين المهني في الصناعات التقليدية,Extract all text from this document image,10930.606126785278,,,2025-12-23T22:02:11.859127
icdar_tr_img_00269,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00269.jpg,ICDAR_mini,Arabic,"الرفع
قبل
الدفع
###
###",الدفع قبل الرفع,Extract all text from this document image,7881.9990158081055,,,2025-12-23T21:22:27.612958,,Extract all text from this document image,14517.168998718262,,,2025-12-23T22:02:26.376659
icdar_tr_img_00277,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00277.jpg,ICDAR_mini,"Arabic, Latin","السنبلة
الذهبية
D'OR
L'EPI
منذ
1943
DEPUIS
3
M'hammes
DUR
BLE
SEMOLINA
DE
SEMOULE
WHEAT
PURE
DURUM
PURE","Extracted text (as visible in the image):

- السنـبلة الذهبية
- L'EPI D'OR
- DEPUIS 1943 (منذ 1943)
- M'hammes 3
- PURE SEMOULE DE BLE DUR
- PURE DURUM WHEAT SEMOLINA

Notes: there is additional small/partially visible text near the bottom and on the edge of the pack that is not legible in the photo.",Extract all text from this document image,16178.526878356934,,,2025-12-23T21:26:00.813109,"- السنبلة الذهبية
- L'EPI D'OR
- DEPUIS 1943
- Depuis 1943
- Mihamines 3
- PURE SEMOULE DE BLE DUR
- PURE DURUM WHEAT SEMOLINA",Extract all text from this document image,13868.141174316406,,,2025-12-23T22:06:22.653198
icdar_tr_img_00278,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00278.jpg,ICDAR_mini,"Latin, Arabic","###
ومستودع
الغذائية
الحكمي
للمواد
هاتف
3190552
###
###
###","مكتب ومستودع الحكمي للمواد الغذائية
هاتف 3190552

(بعض النصوص الصغيرة على الجدران والملصقات غير مقروءة بوضوح)",Extract all text from this document image,16280.945777893066,,,2025-12-23T21:22:06.211118,"مستودع الحكمي للمواد الغذائية
هاتف 3190552",Extract all text from this document image,22065.05298614502,,,2025-12-23T22:01:56.208533
icdar_tr_img_00285,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00285.jpg,ICDAR_mini,"Latin, Arabic","خالفة
وادي
بو
OUED
BOUKHALFA","وادي بوخلفة
OUED BOUKHALFA

(No other readable text appears in the image.)",Extract all text from this document image,11983.179092407227,,,2025-12-23T21:22:39.596545,"- OUED BOUKHALIFA
- وادي بوخليفة",Extract all text from this document image,11257.081985473633,,,2025-12-23T22:02:37.634057
icdar_tr_img_00293,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00293.jpg,ICDAR_mini,"Arabic, None, Latin","جندوبة
JENDOUBA
باجة
BEJA
طبرقة
TABARKA
دراهم
عين
AiN
DRAHAM
###
###
###
###","جندوبة
JENDOUBA

باجة
BEJA

عين دراهم
AIN DRAHAM

طبرقة
TABARKA",Extract all text from this document image,8396.566152572632,,,2025-12-23T21:23:10.109946,,Extract all text from this document image,12592.944145202637,,,2025-12-23T22:03:14.294535
icdar_tr_img_00298,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00298.jpg,ICDAR_mini,"Latin, Arabic","المسارحة
احد
صامطة
الطوال
###
###
###
###
###
###
###
###
الشبيكة
###
###
٥٠٠
م
500
M","أحد المسارحة
صامطة
الطويل
اليمن
الشريقة
٥٠٠ م

AHAD AL MASARRAHA
SAMTHA
AL TUWAL
YEMEN
AL SHERIKAH
500 M",Extract all text from this document image,13824.537754058838,,,2025-12-23T21:26:27.133715,,Extract all text from this document image,15240.124940872192,,,2025-12-23T22:06:49.755433
icdar_tr_img_00310,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00310.jpg,ICDAR_mini,"Latin, Arabic","خياط
امواج
الأقمشة
الرجالية
للخياطة
8939629
٠٥٥٠٣٢١٢٦٩","خياط
امواج
الأقمشة
للخياطة الرجالية
٠٥٥٣٣٢٦٣٩

Transliteration:
- Khayyat
- Amwaj
- Al-Aqmisha
- Lil-khayata al-rijaliyya
- 055332639

Translation:
- Tailor
- Amwaj (name)
- Fabrics
- For men's tailoring
- (phone) 055332639

Note: the phone number digits on the sign are partially obscured; the transcription above is from what is visible.",Extract all text from this document image,15053.035020828247,,,2025-12-23T21:23:38.273492,,Extract all text from this document image,15459.455966949463,,,2025-12-23T22:03:54.845309
icdar_tr_img_00334,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00334.jpg,ICDAR_mini,"Arabic, Latin","ى
مغاسل
الأفق
###
LAUNDRY
###
ALـOFOQ
خدمة
###
سريعة
Service
OFOQ
Express","مغاسل الافق
AL-OFOQ LAUNDRY
OFOQ
Express Service
خدمة سريعة",Extract all text from this document image,7578.258037567139,,,2025-12-23T21:23:17.688668,,Extract all text from this document image,15220.911979675293,,,2025-12-23T22:03:29.515911
icdar_tr_img_00383,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00383.jpg,ICDAR_mini,"Arabic, None, Latin","###
20
###
###
###
السعر
20
6
هبه
HEBA
إطفاء
حريق
صندوق
FIRE
HOSE
CABINET","6

هبة
HEBA

صندوق إطفاء حريق
FIRE HOSE CABINET

20",Extract all text from this document image,12898.3895778656,,,2025-12-23T21:28:14.754395,"- 20
- 6
- HEBA
- صندوق إطفاء حريق
- FIRE HOSE CABINET",Extract all text from this document image,15548.770189285278,,,2025-12-23T22:08:51.814772
icdar_tr_img_00384,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00384.jpg,ICDAR_mini,"Latin, Arabic","صيدلية
صيدلية
###
شقرون","- Top small horizontal sign (upper right): صيدلية
- Vertical green sign with mortar & pestle (center right): صيدلية
- Large red storefront text (center): شروق+
- Apple logo (below the large red text)",Extract all text from this document image,11162.69588470459,,,2025-12-23T21:21:08.048897,,Extract all text from this document image,14059.190034866333,,,2025-12-23T22:00:39.447204
icdar_tr_img_00395,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00395.jpg,ICDAR_mini,"Latin, Arabic","نهج
الاندلس
RUE
ANDALOUS
DES","Arabic (top): زنقة الاندلس

French (middle / bottom): RUE
DES ANDALOUS

Interpreted/clean reading: ""RUE DES ANDALOUS"" (French) and ""زنقة الأندلس"" (Arabic).",Extract all text from this document image,8636.913061141968,,,2025-12-23T21:21:41.363788,,Extract all text from this document image,12036.971092224121,,,2025-12-23T22:01:23.293986
icdar_tr_img_00409,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00409.jpg,ICDAR_mini,"Latin, Arabic","طريق
25
شارع
الخليج
العربي
Gulf
Arabian
Street","طريق
25
شارع الخليج العربي
Arabian Gulf Street",Extract all text from this document image,3582.608938217163,,,2025-12-23T21:27:07.723367,"طريق 25
شارع الخليج العربي
Arabian Gulf Street",Extract all text from this document image,6229.956865310669,,,2025-12-23T22:07:31.029395
icdar_tr_img_00456,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00456.jpg,ICDAR_mini,"Arabic, Latin","igh
Ama
Travel
أسفار
457
393
96
وكالة
175
224
21
VOYAGES
DE
AGENCE
داخلية
رحلات
وخارجية
###
أمازيغ
Ama
للأسفار
على
عمرة
السنة
مدار
تذاكر
###
Travel
ges
ménage","Top sign:
Amazigh Travel

Purple banner (top of main sign):
96 393 457
21 224 175

White strip on main sign:
AGENCE DE VOYAGES

Small logo/box on left of main sign:
Amazigh
Travel

Arabic on the large purple sign (right side):
وكالة أسفار
أمازيغ للأسفار

Arabic lines inside the small white box (left):
رحلات داخلية وخارجية
عمرة على مدار السنة
تذاكر سفر

Other visible fragments:
…ges
ménage",Extract all text from this document image,12224.585056304932,,,2025-12-23T21:20:45.250691,,Extract all text from this document image,14641.55101776123,,,2025-12-23T22:00:07.616346
icdar_tr_img_00459,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00459.jpg,ICDAR_mini,"Latin, None, Arabic","###
###
جواجم
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
فطور
صباح
بونجورنو
ياغورت
دياري","جواجم
فطور صباح
ياقورت دياري
بونجورنو",Extract all text from this document image,14900.654792785645,,,2025-12-23T21:20:10.046277,,Extract all text from this document image,13815.861940383911,,,2025-12-23T21:59:27.475804
icdar_tr_img_00512,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00512.jpg,ICDAR_mini,Arabic,"###
تازركة","Extracted text (from the blue sign):

- تازركة

There is a small, very faded word above the main text that is not legible.",Extract all text from this document image,8242.652893066406,,,2025-12-23T21:27:36.046930,The text in the image reads: تارزكة,Extract all text from this document image,15598.71220588684,,,2025-12-23T22:08:09.860721
icdar_tr_img_00543,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00543.jpg,ICDAR_mini,"Latin, Arabic","الأساسات
قسم
لادن
بن
LADIN
BIN
PILING
٢٦٦٣٤٠٤
فاكس/
ت/
٢٦٢٦٣٤٧
١٥٥٥
ص-ب/
دبي
26266347
Dubai
Fax.
P.O.Box.
1555
Tel.
2663404","بن لادن قسم الأساسات
BIN LADIN PILING
ت/ ٢٦٦٣٤٠٤ فاكس ٢٦٢٦٣٤٧ ص.ب/ ١٥٥٥ دبي
Tel. 2663404 Fax. 2626347 P.O.Box. 1555 Dubai",Extract all text from this document image,9270.17593383789,,,2025-12-23T21:27:45.317520,"بن لادن قسم الأساسات
BIN LADIN PILING
Tel. 2663404
Fax. 2626347
P.O.Box. 1555 Dubai",Extract all text from this document image,8031.485080718994,,,2025-12-23T22:08:17.892364
icdar_tr_img_00557,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00557.jpg,ICDAR_mini,"Latin, Arabic","الطبي
المجمع
Medical
###
City
المغناطيسي
بالرنين
التصوير
مخبر
التحاليل
الطبية
Médicales
D'analyses
Laboratoire","المجمع الطبي
Medical City
التصوير بالرنين المغناطيسي
مختبر التحاليل الطبية
Laboratoire D'analyses Médicales",Extract all text from this document image,10022.035360336304,,,2025-12-23T21:25:03.967024,,Extract all text from this document image,12874.803066253662,,,2025-12-23T22:05:22.734152
icdar_tr_img_00573,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00573.jpg,ICDAR_mini,"Latin, Arabic","شبرا
###
مجمع
nmercial
Complex
###
###
###
###
###
###
###
###
###
###
###
###
###
###","Here’s the text from the image.

Exact visible (verbatim):
- مجمع شبرا م
- mercial Complex

Likely full text (expanded/cleaned reading):
- مجمع شبرا ماركت
- Commercial Complex",Extract all text from this document image,12495.131254196167,,,2025-12-23T21:26:13.308761,"- Arabic: مجمع شيبرا مول
- English: Commercial Complex",Extract all text from this document image,11861.348867416382,,,2025-12-23T22:06:34.514902
icdar_tr_img_00591,/Users/kenzabenkirane/Documents/GitHub/research-playground/datasets/parsing/ICDAR/ImagesPart1/tr_img_00591.jpg,ICDAR_mini,"Latin, Arabic","شحن
نقطة
ooredoo","نقطة شحن
ooredoo",Extract all text from this document image,5530.883073806763,,,2025-12-23T21:23:23.220007,"- نقطة شحن
- Ooredoo",Extract all text from this document image,9869.051933288574,,,2025-12-23T22:03:39.385381
