sample_id,image_path,printed_image_path,dataset,ground_truth,azure_intelligence_prediction,azure_intelligence_prompt,azure_intelligence_ground_truth_inference_time_ms,azure_intelligence_prediction_inference_time_ms,azure_intelligence_tokens_used,azure_intelligence_ground_truth_error,azure_intelligence_prediction_error,azure_intelligence_timestamp,mistral_document_ai_prediction,mistral_document_ai_prompt,mistral_document_ai_ground_truth_inference_time_ms,mistral_document_ai_prediction_inference_time_ms,mistral_document_ai_tokens_used,mistral_document_ai_ground_truth_error,mistral_document_ai_prediction_error,mistral_document_ai_timestamp
iam_000_a01-113u,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-113u/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a01-113u/printed.png,IAM_mini,"He told them that their conception of social services was wholly different - funda-
mentally different from that of Labour. They would provide an ambulance service for
the absolutely wretched - but it would not be too comfortable nor too easy to get.
Answering jeers that it was Labour which first put a ceiling on health spending and
started charges, Mr. Brown reminded the hostile Government benches that was done
in 1950 because of the financial strain of the Korean war.","He told them that their conception of social
services was wholly different - fundamentally
different from that of Labour . They would
provide an ambulance service for the absolutely
wretched - but it would not be too confortable
nor too easy to get . Answering jeers that
it was Labour which first put a ceiling
on health spending and started charges , Mr.
Brown reminded the hostile Government benches
that was done in 1950 because of the financial
strain of the Korean war .",,2525.6268978118896,2613.6462688446045,,,,2025-12-30T19:18:44.589033,"He told them that their conception of social services was wholly different - funda-
mentally different from that of Labour. They would provide an ambulance service for
the absolutely wretched - but it would not be too comfortable nor too easy to get.
Answering jeers that it was Labour which first put a ceiling on health spending and
started charges, Mr. Brown reminded the hostile Government benches that was done
in 1950 because of the financial strain of the Korean war.",,2315.432071685791,2084.886074066162,,,,2025-12-30T20:08:03.067527
iam_000_a03-071,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a03-071/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a03-071/printed.png,IAM_mini,"But, at the same time, there is reason to believe that the Federal Government is not
convinced, on the basis of the information it has so far, that such a project would
be justified from a scientific point of view; and not merely constitute a ""prestige""
satellite, duplicating to some extent American efforts, as Die Welt suggests today in
a highly critical editorial article.","But , at the same time , there is reason to
believe that the Federal Government is not
convinced , on the basis of the information
it has so far , that such a project would
be justified from a scientific point of view;
and not merely constitute a "" prestige ""
satellite , duplicating to some extent American
efforts , as Die Welt suggests today in
a highly critical cuticle .",,2631.885766983032,2742.501974105835,,,,2025-12-30T19:31:47.723689,"But, at the same time, there is reason to believe that the Federal Government is not
convinced, on the basis of the information it has so far, that such a project would
be justified from a scientific point of view; and not merely constitute a ""prestige""
satellite, duplicating to some extent American efforts, as Die Welt suggests today in
a highly critical editorial article.",,1944.700002670288,2156.9972038269043,,,,2025-12-30T20:18:21.831850
iam_000_a05-039,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-039/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-039/printed.png,IAM_mini,"There was a computed 8.4 per cent. swing towards the Nationalist party of Dr.
Verwoerd, the Prime Minister. This implies the disappearance of the Progressive
party from the House. Early results in yesterday's general election showed Nationalists
being returned in their strongholds, like Bloemfontein and the Transvaal, with slightly
increased majorities. In the Cape, the veteran United Party politician, Mr. Harry
Lawrence, standing as a Progressive, was defeated in his constituency, Salt River, by
the United party candidate, Mr. H. M. Timoney.","There
was
was a computed
8.4 per cent. owing
towards the Nationalists party of Dr. Verwoerd .
the Prime Minister . This implies the dis -
appearance of the Progressive party from
the House.
Early results in yesterday's
general election showed Nationalists being
netwed in
their strongholds , like Bloem.
fontein and the Transvaal , with slightly
increased majorities .
In the Cape , the
veteran United Party politican , Mr. Harry
Lawrence , standing as a Progressive , was",,4081.8428993225098,2970.747947692871,,,,2025-12-30T19:21:57.927065,"There was a computed 8.4 per cent. owing towards the Nationalists party of
Dr. Verwoerd, the Prime Minister. This implies the disappearance of the
Progressive party from the House. Early results in yesterday's general election
showed Nationalists being咲哉 to be removed in their strongholds, like
Bloomfontein and the Transvaal, with slightly increased majorities. In the
Cape, the veteran United Party politician, Mr. Harry Lawrence, standing as a
Progressive, was",,1581.3708305358887,3477.0002365112305,,,,2025-12-30T20:10:27.808287
iam_000_a05-058,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-058/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-058/printed.png,IAM_mini,"""We must not be rattled into surrender, but we must not - and I am not - be afraid
of negotiation."" Mr. Godber, Minister of State, Foreign Office, said earlier that the
Government had asked the Medical Research Council to reassess the fall-out position
in view of the Russian tests. The Council's findings would be made public.","We must not be rattled into surrender ,
but we must not - and I am not - be
affraid of negotiation . Mr. Godber ,
Minister of State , Foreign Office , said
earlier that the Government had asked
the Medical Research Council to reassess
the fall-out position in view of the Russian
tests . The Council's findings would be
made public.",,2492.751121520996,5049.124002456665,,,,2025-12-30T19:25:39.466467,"""We must not be rattled into surrender, but we must not - and I am not - be afraid
of negotiation."" Mr. Godber, Minister of State, Foreign Office, said earlier that the
Government had asked the Medical Research Council to reassess the fall-out position
in view of the Russian tests. The Council's findings would be made public.",,1641.0300731658936,2051.5480041503906,,,,2025-12-30T20:13:15.648907
iam_000_a05-084,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-084/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-084/printed.png,IAM_mini,"The Russians now realised its seriousness. The French doubts were more about pro-
cedure than about substance. The Prime Minister's attitude of studied calm brought
down the temperature of the debate, which never at any time rose to fever pitch, to
a remarkable degree of sub-normality. Throughout Mr. Macmillan's speech the Earl
of Home, Foreign Secretary, was listening in the Peers' Gallery.","The Russians now realised its seriousness . The
French doubts were more about procedure
than about substance . The Prime Minister's
attitude of studied call Brought down the
temperature of the debate , which never
at any time rose to fever pitch , to a
remarkable degree of sub-normality .
Throughout Mr. Macmillan's speech the Earl
of Home , Foreign Secretary , was listening
in the Peers ' Gallery .",,2504.0829181671143,2751.3959407806396,,,,2025-12-30T19:49:09.167943,"The Russians now realised its seriousness. The French doubts were more about
procedure than about substance. The Prime Minister's attitude of studied calm
brought down the temperature of the debate, which never at any time rose to
fever pitch, to a memorable degree of sub-normality. Throughout Mr. Macmillan's
speech the Earl of Mome, Foreign Secretary, was listening in the Peers' Gallery.",,1983.01100730896,3140.2790546417236,,,,2025-12-30T20:30:53.350158
iam_000_a05-099,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-099/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-099/printed.png,IAM_mini,"A reference to the reunification of Germany brought a bark of ""Start another war!""
from Mr. Ellis Smith (Lab., Stoke on Trent S.). Then Mr. Healey launched out on
his pet theme of limitation of armaments in Europe. This could, he suggested, be
linked with prohibition of the production of atomic weapons in any part of Europe.
Inspection and control would be much easier to establish in these territories.","A reference to her reunification of Germany
brought a bark of "" Start another war !'
from
Mr. Ellis Smith ( Lab . , Stoke on Trent S . ).
Them Mr. Healy launched out on his pet
theme of limitation of armaments in Europe .
This could , he suggested , be linked with
prohibition of the production of atomic
weapons in any part of Europe . Inspection
-
and control would be much easier to
establish in these territories .",,2491.1041259765625,2646.6569900512695,,,,2025-12-30T19:47:09.960836,"A reference to the reunification of Germany brought a bark of ""Start another war!""
from Mr. Ellis Smith (Lab., Stoke on Trent S.). Then Mr. Healey launched out on
his pet theme of limitation of armaments in Europe. This could, he suggested,
be linked with prohibition of the production of atomic weapons in any part of Europe.
Inspection and control would be much easier to establish in these territories.",,1870.2890872955322,3265.1607990264893,,,,2025-12-30T20:29:31.815086
iam_000_a05-104,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-104/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_000_a05-104/printed.png,IAM_mini,"Mr. Healey denounced the Government for using double standards. Ministers had
rebuked the unaligned nations for not condemning the new Russian tests, but they
themselves had no condemnation for events in Angola or Algeria. It was not for the
Government, said Mr. Healey, to take up moral attitudes, ""especially when the temple
of their religion is the bingo-parlour.""","Mr. Healey denounced the Government for
using double standards . Ministers hard
rebuked the maligned nations for not
condemning the new 'Russian tests , but
they themselves had no condemnation for
events in Angola or Algeria . It was not for
the
Government , said Mr. Healey , to
take up moral attitudes , "" especially when
the temple of their religion is the
bingo - parlour. """,,2490.9677505493164,2730.078935623169,,,,2025-12-30T19:02:39.324488,"Mr. Healey denounced the Government for using double standards. Ministers
had rebuked the maligned nations for not condemning the new Russian tests, but
they themselves had no condemnation for events in Angola or Algeria. It was not for
the Government, said Mr. Healey, to take up moral attitudes, ""especially when the temple
of their religion is the singo-portaur.""",,2035.4678630828857,3052.663803100586,,,,2025-12-30T19:56:56.241947
iam_002_a01-003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_002_a01-003/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_002_a01-003/printed.png,IAM_mini,"Though they may gather some Left-wing support, a large majority of Labour M Ps
are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as
Labour M Ps opposed the Government Bill which brought life peers into existence,
they should not now put forward nominees. He believes that the House of Lords
should be abolished and that Labour should not take any steps which would appear
to ""prop up"" an out-dated institution.","Though they may gather some Left-wing support , a
large majority of Labour M
Ps are likely to
turn down the Foot-Griffiths resolution . M.
Foot's line will be that as Labour MPS
opposed the Governme
A Bill which brought
Life
sinto
existence,
they should not
now put forward no.
nominees .
s . the believes
L
do should be abolished
that the House
that Labour should not take any steps
and
which would appear to "" prop up ' an out-
institution .
out -dated",,2962.131977081299,2589.7371768951416,,,,2025-12-30T19:04:30.071416,"Though they may gather some Left-wing support, a large majority of Labour M Ps
are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as
Labour M Ps opposed the Government Bill which brought life peers into existence,
they should not now put forward nominees. He believes that the House of Lords
should be abolished and that Labour should not take any steps which would appear
to 'prop up' an out-dated institution.",,1934.4451427459717,3108.415126800537,,,,2025-12-30T19:58:20.775504
iam_003_a01-007x,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_003_a01-007x/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_003_a01-007x/printed.png,IAM_mini,"Since 1958, 13 Labour life Peers and Peeresses have been created. Most Labour sen-
timent would still favour the abolition of the House of Lords, but while it remains
Labour has to have an adequate number of members. THE two rival African Nation-
alist Parties of Northern Rhodesia have agreed to get together to face the challenge
from Sir Roy Welensky, the Federal Premier.","Since 1958, 13 Labour life Peers and Peers
Peeresses have been created . Most Labour sentiment
would still favour the abolition of the House
of Lords , but while it remains Labour has to
have an adequate number of members . THE
two rival African Nationalist Parties of Northern
Rhodesia have agreed to get together to face the
Challenge from Sir Roy Welensky , the Federal Premier.",,2484.346866607666,2715.2576446533203,,,,2025-12-30T19:50:10.835957,"Since 1958, 13 Labour life Peers and Peers Peeresses have been created. Most Labour sen-
timent would still favour the abolition of the House of Lords, but while it remains
Labour has to have an adequate number of members. THE two rival African Nation-
alist Parties of Northern Rhodesia have agreed to get together to face the challenge
from Sir Roy Welensky, the Federal Premier.",,1826.0498046875,3172.333002090454,,,,2025-12-30T20:31:44.954322
iam_007_a01-014,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_007_a01-014/handwritten.png,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/iam_mini/iam_007_a01-014/printed.png,IAM_mini,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's
future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British
Government gives in to Sir Roy and the talks fall through. There are bound to be
demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned
his chief a report on his talks with Mr. Macmillan at Chequers.","Sir Roy's United Federal Party is boycotting
the London talks on the Protectorate's
future , Said Mr. Nkumbula last night :
"" We want to discuss what to do if the
British Government gives in to Sir Roy and
the talles fall through . There are bound
to be demonstrations."" Yesterday Sir Roy's
chief nide, Mr. Julius Greenfield , telephoned
his chief a report on his talks with
Mr. Macmillan at Chequers ,",,2494.025945663452,3836.766004562378,,,,2025-12-30T19:03:53.732524,"Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's
future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British
Government gives in to Sir Roy and the talks fall through. There are bound to be
demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned
his chief a report on his talks with Mr. Macmillan at Chequers.",,1255.8019161224365,2214.7879600524902,,,,2025-12-30T19:57:51.891415
