sample_id,doc_id,question,page_index,detected_language,prediction,ground_truths,phase,parsing_model,qa_model,anls_score,exact_match,substring_match,embedding_similarity,inference_time_ms,error,timestamp
0119_0,0119,"The average payment per enrollee in Alabama was $4,186, and 60.80% of Medicaid eligibles were enrolled in managed care in FFY 14.",11,English,[SKIPPED: image not available],"[""The average payment per enrollee in Alabama was $4,186, and 60.80% of Medicaid eligibles were enrolled in managed care in FFY 14.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,209.72275733947754,,2026-01-26T18:05:03.468164
0125_0,0125,Single female travelers are offered an automatic upgrade on availability.,1,English,[SKIPPED: image not available],"[""Single female travelers are offered an automatic upgrade on availability.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,73.94599914550781,,2026-01-26T18:05:03.543468
0301_0,0301,The approximate cost for pavement maintenance at the 'Good' level (PCI=100) is $2.50 per square yard for Surface Seal.,6,English,[SKIPPED: image not available],"[""The approximate cost for pavement maintenance at the 'Good' level (PCI=100) is $2.50 per square yard for Surface Seal.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,76.00784301757812,,2026-01-26T18:05:03.619995
0301_1,0301,Which county has the highest Overall Network PCI according to the 2014 Statewide Needs Survey and what is its PCI value?,6,English,[SKIPPED: image not available],"[""Amador City has the highest Overall Network PCI with a value of 85.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,113.35611343383789,,2026-01-26T18:05:03.735676
0301_2,0301,How much did the Caltrans Asphalt Price Index increase from 1999 to its peak year?,9,English,[SKIPPED: image not available],"[""The index increased from 71 in 1999 to 717 at its peak.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,82.90505409240723,,2026-01-26T18:05:03.819922
0333_0,0333,The hinge controls the fall of the tree and should not be cut through. The back-cut should be made about 2 inches (5 cm) above the notch without cutting through the hinge.,9,English,[SKIPPED: image not available],"[""The hinge controls the fall of the tree and should not be cut through. The back-cut should be made about 2 inches (5 cm) above the notch without cutting through the hinge.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,85.55316925048828,,2026-01-26T18:05:03.906796
0333_1,0333,"What action should be taken when the wood chips produced by the chainsaw are small and powdery, and how should the cutters be filed according to the image?",10,English,[SKIPPED: image not available],"[""The chain needs sharpening, and you should file the left-hand cutters in one direction and right-hand cutters in the opposite direction.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,83.03689956665039,,2026-01-26T18:05:03.990559
0333_2,0333,"According to the instructions and the image, in which direction should you file the left-hand blades?",24,English,[SKIPPED: image not available],"[""You should file the left-hand blades in an upward direction.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,78.28307151794434,,2026-01-26T18:05:04.069469
0429_0,0429,The bathroom is located directly above the garage.,1,English,[SKIPPED: image not available],"[""The bathroom is located directly above the garage.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,2383.8820457458496,,2026-01-26T18:05:06.454398
0429_1,0429,Which bedroom in the 2nd floor townhouse is located closest to the bathroom according to the floor plan?,2,English,[SKIPPED: image not available],"[""Bedroom #2 is located closest to the bathroom.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,276.7798900604248,,2026-01-26T18:05:06.817205
0322_0,0322,The minimum width required for the lumber is 4 inches.,7,English,[SKIPPED: image not available],"[""The minimum width required for the lumber is 4 inches.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,357.59615898132324,,2026-01-26T18:05:07.213907
0322_1,0322,"According to the instructions, what action is shown being performed in Figure 5?",8,English,[SKIPPED: image not available],"[""Figure 5 shows attaching two components together.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,252.55203247070312,,2026-01-26T18:05:07.468932
0114_0,0114,"The highest syndication volume of Inflation-Indexed Bonds was recorded in 2013, with the issuance of IIB Sep 2030.",16,English,[SKIPPED: image not available],"[""The highest syndication volume of Inflation-Indexed Bonds was recorded in 2013, with the issuance of IIB Sep 2030.""]",QA2a,gpt-5-mini,gpt-5-mini,0.0,0.0,0.0,0.0,64.06807899475098,,2026-01-26T18:05:07.534509
